,number_of_dialog,start_time,end_time,dialog
20,44,"00:02:55,253","00:02:57,295","Oh, Mom. He's not even my real brother. He's adopted!"
21,45,"00:02:57,380","00:02:58,588","Do as I say, Kyle!"
22,46,"00:02:58,673","00:03:00,549",Okay! Okay! I'm sorry!
23,47_48_49_50_51_52,"00:03:02,093","00:03:20,152","Look at those frail and fragile boys It really gets me down The world is such a rotten place and city life's a complete disgrace That's why I moved to this redneck, meshugana Quiet mountain town Ike! Bad baby!"
24,53_54,"00:03:21,279","00:03:25,699","This program is brought to you by Snacky Smores, the creamy fun of smores in a delightful cookie crunch."
25,55,"00:03:25,783","00:03:27,534",Mom! Somebody's at the door!
26,56,"00:03:27,618","00:03:29,995","- Coming, hon. - I can't see the TV!"
27,57_58_59,"00:03:30,079","00:03:35,417",It's been six weeks since Saddam Hussein was killed by a pack of wild boars and the world is still glad to be rid of him.
28,60,"00:03:35,501","00:03:38,295","- Oh! Look, Eric, it's your little friends. - Spider-Man!"
29,61,"00:03:38,379","00:03:40,589",What are you guys doing here?
30,62,"00:03:40,673","00:03:43,467","Oh! Sweet, dude! Yes! Yes!"
31,63_64_65_66_67_68,"00:03:43,551","00:03:59,441",Off to the movies we shall go Where we learn everything that we know 'Cause the movies teach us what our parents don't have time to say And this movie's gonna make our lives complete 'Cause Terrance and Phillip are sweet Super sweet.
32,69_70,"00:03:59,525","00:04:09,117","Thank God we live in the quiet little redneck, Podunk, white-trash U.S.A."
33,71,"00:04:09,202","00:04:12,746",Can I have five tickets to Terrance and Phillip Asses of Fire?
34,72_73,"00:04:12,830","00:04:16,917","No. What do you mean, no?"
35,74_75,"00:04:17,001","00:04:21,129",Terrance and Phillip Asses of Fire has been rated R by the Motion Picture Association of America.
36,76,"00:04:21,214","00:04:23,215",You have to be accompanied by a parent or guardian.
37,77_78,"00:04:23,299","00:04:25,675",- But why? - Because this movie has naughty language!
38,79,"00:04:25,760","00:04:27,385","Next, please."
39,80,"00:04:28,513","00:04:31,014","- This can't be happening! - We have to see this movie, dude!"
40,81,"00:04:31,099","00:04:32,933",Screw it! It probably isn't all that good anyway.
41,82,"00:04:33,017","00:04:35,310","Cartman, what are you talking about? You love Terrance and Phillip!"
42,83,"00:04:35,394","00:04:38,063","Yeah, but the animation's all crappy."
43,84,"00:04:39,690","00:04:41,233","Wait, I've got an idea!"
44,85,"00:04:42,443","00:04:44,945","Hi, I want six tickets to Asses of Fire."
45,86,"00:04:45,029","00:04:47,405",This movie might not be appropriate for your little ones.
46,87,"00:04:47,490","00:04:49,699","Hey, he says this movie isn't appropriate for you."
47,88_89_90,"00:04:49,784","00:04:55,205","Look, Mr. Homeless Guy, if you don't wanna buy us tickets and not get your 10 bucks and not go buy yourself a bottle of vodka, then be my guest."
48,91,"00:04:55,289","00:04:57,082","Six tickets, please."
49,92,"00:05:00,002","00:05:02,587","- Let me have some candy, Cartman. - Oh! Let's see."
50,93,"00:05:02,672","00:05:04,214","Nope, I don't have any Jewish candy."
51,94,"00:05:04,298","00:05:05,966","Like you really need all that chocolate, fat boy!"
52,95,"00:05:07,135","00:05:09,302",Shh! The movie's starting.
53,96_97_98,"00:05:13,182","00:05:18,103","Hooray! Say, Terrance, what did the Spanish priest say to the Iranian gynecologist?"
54,99,"00:05:18,187","00:05:19,646","I don't know, Phillip. What?"
55,100,"00:05:22,400","00:05:23,984",Where do they come up with this stuff?
56,101,"00:05:24,068","00:05:25,610","You're such a pig fucker, Phillip!"
57,102,"00:05:26,779","00:05:27,821",What did he say?
58,103,"00:05:27,905","00:05:30,240","Terrance, why would you call me a pig fucker?"
59,104,"00:05:30,324","00:05:32,784","Let's see. First of all, you fuck pigs."
60,105,"00:05:32,869","00:05:33,827","Oh, yeah!"
61,106,"00:05:35,037","00:05:36,955",Yeah. Fuck my ass and call me a bitch!
62,107,"00:05:38,666","00:05:41,293",- Oh! You shit-faced cockmaster! - Wow!
63,108_109,"00:05:41,627","00:05:45,005","""Shit-faced cockmaster."" Listen, you donkey-raping shit-eater!"
64,110_111,"00:05:45,089","00:05:51,595","""Donkey-raping shit-eater."" - You'd fuck your uncle. - You'd fuck your uncle!"
65,112_113_114_115_116_117_118,"00:05:52,096","00:06:21,791","Shut your fucking face, uncle fucka You're a cock-sucking, ass-licking uncle fucka You're an uncle fucka, yes, it's true Nobody fucks uncles quite like you Shut your fucking face, uncle fucka You're the one that fucked your uncle Uncle fucka You don't eat or sleep or mow the lawn You just fuck your uncle all day long What's going on here?"
66,119,"00:06:24,795","00:06:25,921",What garbage.
67,120,"00:06:26,005","00:06:28,548","Well, what do you expect? They're Canadian."
68,121,"00:06:31,677","00:06:36,223",Uncle fucka! Uncle fucka! Uncle fucka!
69,122_123_124_125_126_127_128,"00:06:37,350","00:06:52,447","Shut your fucking face, uncle fucka You're a boner-biting bastard Uncle fucka You're an uncle fucka, I must say You fucked your uncle yesterday Uncle fucka That's U-N-C-L-E Fuck you, uncle fucka!"
70,129,"00:06:52,531","00:06:53,573",Suck my balls.
71,130,"00:06:58,120","00:07:00,080","Dude, that movie was fucking sweet!"
72,131,"00:07:00,164","00:07:01,915",You bet your fucking ass it was!
73,132,"00:07:01,999","00:07:03,750","Fuck, dude, I wanna be just like Terrance and Phillip."
74,133,"00:07:03,834","00:07:05,126","Hey, wait a minute! Where's your guardian?"
75,134_135,"00:07:05,211","00:07:10,131","Huh? I knew it! You paid a homeless guy to get you in, didn't you?"
76,136,"00:07:10,716","00:07:12,759","Fuck off, you donkey-raping shit-eater!"
77,137_138_139_140,"00:07:12,843","00:07:25,188","Yeah! Shut your fucking face, uncle fucka You're an ass-licking Ball-sucking uncle fucka Ah!"
78,141,"00:07:27,858","00:07:29,526","Hey, where have you guys been all day?"
79,142,"00:07:29,610","00:07:32,362",Oh! Nowhere. We just went to go see the Terrance and Phillip movie.
80,143,"00:07:33,823","00:07:35,240",- You saw it? - How'd you get in?
81,144,"00:07:35,324","00:07:38,201","Hey, stop crowding us, you shit-faced cockmasters!"
82,145_146,"00:07:38,286","00:07:41,955",Wow. Yeah. You're all a bunch of ass-ramming uncle fuckers.
83,147_148,"00:07:42,039","00:07:44,958","Ooh! We have got to see this movie, dude."
84,149,"00:07:45,042","00:07:48,628","Terrance and Phillip are Canadian, just like my brother."
85,150_151_152,"00:07:50,715","00:07:56,469","There's the girI that I like Hey, Stan, tell them about when Terrance called Phillip a testicle-shitting rectal wart."
86,153_154_155,"00:07:56,554","00:08:05,395","Now more than ever she gives me butterflies It makes my stomach queasy every time she walks by Asshole, I'm talking to you."
87,156_157,"00:08:05,479","00:08:09,691","I know I can be cool if I try Hi, Stan."
88,158_159,"00:08:10,860","00:08:15,655","Gross! Come, Wendy. Let us try to jump the hilly brush."
89,160,"00:08:15,740","00:08:17,657","- Who are you, kid? - My name is Gregory."
90,161,"00:08:17,742","00:08:21,036","I just transferred from Yardale, where I had a 4.0 grade point average."
91,162,"00:08:21,120","00:08:22,370",Wanna skate with us?
92,163_164,"00:08:22,455","00:08:26,458",We've been skating all morning and laughing and talking of memories past.
93,165,"00:08:26,542","00:08:28,335",We saw the Terrance and Phillip movie.
94,166_167,"00:08:28,419","00:08:31,588","Uh-huh! Try and catch me, Wendy."
95,168,"00:08:32,506","00:08:33,923","Bye, Stan."
96,169,"00:08:37,428","00:08:39,679","Yes, yes, I saw the Terrance and Phillip movie."
97,170,"00:08:39,764","00:08:41,681",Who wants to touch me?
98,171,"00:08:41,766","00:08:44,434",I said who wants to fucking touch me?
99,172_173,"00:08:44,518","00:08:49,773","Ooh! Come on, gang! We've gotta see the Terrance and Phillip movie, too!"
100,174,"00:08:51,901","00:08:53,651","I hate you, Kenny."
101,175_176,"00:08:58,491","00:09:02,994","Shut your fucking face, uncle fucka You're a boner-biting bastard Uncle fucka..."
102,177,"00:09:04,497","00:09:08,750","Okay, children, let's take our seats. We have a lot to learn today."
103,178,"00:09:09,293","00:09:11,127","We sure do, Mr. Hat."
104,179,"00:09:11,462","00:09:14,547","Okay, children. Let's start the day with a few new math problems."
105,180,"00:09:14,632","00:09:16,549",What is five times two?
106,181,"00:09:18,052","00:09:21,596","Come on, children. Don't be shy. Just give it your best shot."
107,182,"00:09:21,680","00:09:23,223","- Yes, Clyde? - Twelve?"
108,183_184,"00:09:23,307","00:09:27,394",Okay. Now let's try to get an answer from someone who's not a complete retard.
109,185,"00:09:27,478","00:09:29,813","Anyone? Come on, don't be shy."
110,186,"00:09:29,897","00:09:31,272","I think I know the answer, Mr. Garrison."
111,187,"00:09:32,483","00:09:35,276","- Shut up, fat boy! - Hey! Don't call me fat, you fucking Jew!"
112,188,"00:09:35,361","00:09:37,487","Eric, did you just say the ""F"" word?"
113,189_190,"00:09:37,947","00:09:41,241","- Jew? - No. He's talking about ""fuck."" You can't say ""fuck"" in school, you fucking fat-ass!"
114,191,"00:09:41,325","00:09:42,784",- Kyle! - Why the fuck not?
115,192,"00:09:42,868","00:09:43,952","- Eric! - Dude, you just said ""fuck"" again!"
116,193_194,"00:09:44,036","00:09:47,205",Stanley! - Kenny! - What's the big deal?
117,195,"00:09:47,289","00:09:49,416","It doesn't hurt anybody. Fuck, fuckity, fuck, fuck, fuck."
118,196,"00:09:49,500","00:09:51,960",How would you like to go see the school counselor?
119,197,"00:09:52,044","00:09:53,920",How would you like to suck my balls?
120,198,"00:09:55,339","00:09:56,965",What did you say?
121,199,"00:09:57,049","00:10:00,343","I'm sorry. I'm sorry. Actually, what I said was..."
122,200,"00:10:01,095","00:10:05,473","How would you like to suck my balls, Mr. Garrison?"
123,201,"00:10:06,767","00:10:07,892","Holy shit, dude."
124,202,"00:10:10,146","00:10:13,815","Well, I must say, I'm very disappointed in you boys, m'kay?"
125,203,"00:10:13,899","00:10:15,525",You should be ashamed of yourselves.
126,204,"00:10:15,609","00:10:17,110",And I've already called in your mothers...
127,205,"00:10:17,194","00:10:18,945",- You called my mom? - That's right.
128,206,"00:10:19,029","00:10:21,656","- Oh, no, dude! - Mr. Mackey, can I ask a question?"
129,207,"00:10:21,740","00:10:22,782",M'kay. What?
130,208,"00:10:22,867","00:10:24,742","- What's the big fucking deal, bitch? - Yeah."
131,209,"00:10:24,827","00:10:28,955","Ah! Now I wanna know where you heard these horrific obscenities, m'kay?"
132,210_211,"00:10:29,039","00:10:32,041",Nowhere. We heard them from Mr. Garrison a few times before.
133,212_213_214_215,"00:10:32,126","00:10:41,676","- Yeah. - Boys, I seriously doubt that Mr. Garrison ever said, ""Eat penguin shit, you ass spelunker."" Sweet."
134,216_217,"00:10:42,887","00:10:47,724",Uh-oh! Thank you all for coming on such short notice.
135,218,"00:10:47,808","00:10:49,309","This just isn't like you, Stanley."
136,219,"00:10:49,393","00:10:52,770","What did my son say, Mr. Mackey? Did he say the ""S"" word?"
137,220,"00:10:52,855","00:10:55,523","- No, it was worse than that. - The ""F"" word?"
138,221,"00:10:55,608","00:10:59,152","Well, here's a short list of the things they've been saying, m'kay?"
139,222,"00:10:59,236","00:11:02,155",- Oh! Dear God! - What the heck is a rim job?
140,223_224,"00:11:02,239","00:11:06,409",Why that's when you put your legs behind your head and have someone lick your ass.
141,225_226,"00:11:07,953","00:11:12,332","Young man, you will tell Mr. Mackey this instant where you heard all these horrible phrases!"
142,227,"00:11:12,416","00:11:13,541",I... I...
143,228_229,"00:11:13,626","00:11:16,169",We can't tell you. We all took a sacred oath and swore ourselves to secrecy.
144,230,"00:11:16,253","00:11:17,837",- It was the Terrance and Phillip movie. - Dude!
145,231,"00:11:17,922","00:11:19,672",What? Fuck you guys! I wanna get out of here!
146,232,"00:11:19,757","00:11:21,841",Terrance and Phillip? Those Canadians?
147,233,"00:11:21,926","00:11:24,010","Excuse me, what the heck is Terrance and Phillip?"
148,234,"00:11:24,094","00:11:27,639",Terrance and Phillip are two very untalented actors from Canada.
149,235,"00:11:27,723","00:11:30,058",Nothing but foul language and toilet humor.
150,236_237,"00:11:30,142","00:11:34,687","Well, I guess I'll have to send a warning letter out to parents before more children see Terrance and Phillip."
151,238,"00:11:34,772","00:11:36,397",- Everybody's fucking seen it! - Eric!
152,239,"00:11:36,482","00:11:37,732","I'm sorry, I can't help myself."
153,240,"00:11:37,816","00:11:39,901",That movie has warped my fragile little mind.
154,241_242,"00:11:47,284","00:11:53,957",There's the girI that I like Over there laughing with that smart new...
155,243,"00:11:54,041","00:11:57,210",You're holding up the goddamn lunch line!
156,244,"00:11:57,378","00:11:59,754","- Hello there, children. - Hey, Chef."
157,245,"00:11:59,838","00:12:01,172",- How's it going? - Bad.
158,246,"00:12:01,257","00:12:03,258",- Why bad? - We got busted for swearing.
159,247,"00:12:03,342","00:12:05,760",Our moms say we can't ever see the Terrance and Phillip movie again!
160,248,"00:12:05,844","00:12:06,886",Oh! That's too bad.
161,249,"00:12:06,971","00:12:08,388",You should've seen Kyle when his mom showed up.
162,250,"00:12:08,472","00:12:09,889",He was scared out of his mind.
163,251,"00:12:09,974","00:12:11,933","- Shut up, Cartman! - No, dude. I'd be scared, too."
164,252,"00:12:12,017","00:12:13,059",Your mom's a fucking bitch.
165,253,"00:12:13,143","00:12:14,811","Don't call my mom a bitch, you fat fuck!"
166,254,"00:12:14,895","00:12:16,854","Don't call me fat, you butt-fucking son of a bitch!"
167,255,"00:12:16,939","00:12:19,440","Whoa, children, where did you learn to talk like that?"
168,256,"00:12:19,525","00:12:21,067","It's pretty fucking sweet, huh?"
169,257,"00:12:21,151","00:12:24,279","Chef, how do you make a woman like you more than any other guy?"
170,258,"00:12:24,363","00:12:25,405",Oh! That's easy.
171,259,"00:12:25,489","00:12:27,615",- You just gotta find the clitoris. - Huh?
172,260_261,"00:12:27,700","00:12:30,827","Whoops! What does that mean, ""Find the clitoris""?"
173,262,"00:12:30,911","00:12:32,120",Forget I said anything.
174,263,"00:12:32,204","00:12:34,289","Move along, children, you're holding up the line."
175,264,"00:12:34,373","00:12:36,416","You guys, do you know where I can find the clitoris?"
176,265,"00:12:36,500","00:12:37,542",The what?
177,266,"00:12:37,626","00:12:39,502","What, is that like finding Jesus or something?"
178,267,"00:12:39,587","00:12:40,670","Attention, students."
179,268,"00:12:40,754","00:12:43,965",We are now enforcing a new dress code at South Park Elementary.
180,269,"00:12:44,049","00:12:47,218",Terrance and Phillip shirts are no longer allowed in school.
181,270_271,"00:12:47,303","00:12:51,889",Anyone wearing a Terrance and Phillip shirt is to be sent home immediately.
182,272,"00:12:51,974","00:12:53,182",- Hooray! - Hooray!
183,273_274,"00:12:56,854","00:13:01,190",The R-rated Canadian film Asses of Fire is number one at the box office.
184,275,"00:13:01,275","00:13:03,443",But is the film destroying American youth?
185,276,"00:13:03,527","00:13:05,903",Here with a special report is a midget in a bikini.
186,277_278,"00:13:05,988","00:13:09,949","Thanks, Tom. It appears that the effects of the Canadian comedy are far-reaching indeed."
187,279_280,"00:13:10,034","00:13:14,579","All over America, children seem to be influenced, like at this spelling bee in Washington."
188,281_282,"00:13:14,663","00:13:21,336","All right. This is for the silver medal. Spell ""forensics."" Fuck that! Why should I fucking have to spell ""forensics""?"
189,283,"00:13:21,420","00:13:22,503",- Yeah. - Yeah.
190,284,"00:13:22,588","00:13:26,591",Here you go. S-U-C-K-M-Y-A-S-S. Forensics.
191,285_286,"00:13:27,384","00:13:34,015","Tom, the devastating impact of the Canadian duo can also be seen with their new hit song Shut Your Fucking Face, Uncle Fucka."
192,287_288_289_290_291,"00:13:34,224","00:13:46,152","Shut your fucking face, uncle fucka You're a boner-biting bastard Uncle fucka Thought I told you that we won't stop Thought I told you that we won't stop - Back to you, Tom. - Thanks, midget."
193,292,"00:13:46,236","00:13:47,195",Shocking report.
194,293_294,"00:13:47,279","00:13:52,325",The controversy began in the small mountain town of South Park where the local PTA is trying to ban the movie.
195,295,"00:13:52,409","00:13:55,328","With us tonight is the head of the PTA, Sheila Broflovski."
196,296,"00:13:55,412","00:13:57,955","- Hello, Tom. - And the Canadian Minister of Movies."
197,297,"00:13:58,040","00:13:59,165","Thanks for having me, buddy."
198,298_299,"00:13:59,249","00:14:02,710","Minister, parents are concerned about your country's entertainment. Your thoughts?"
199,300,"00:14:02,795","00:14:05,129","Well, the film is R-rated and is not intended for children."
200,301,"00:14:05,214","00:14:07,173",But of course children are gonna see it!
201,302_303,"00:14:07,257","00:14:09,884",Can I finish? The fact is that we Canadians are quite surprised by your outrage.
202,304,"00:14:09,968","00:14:12,845",- You just don't care! - Can I finish? Hello? Can I finish?
203,305,"00:14:12,930","00:14:15,682",The United States has graphic violence on television all the time.
204,306_307,"00:14:15,766","00:14:18,393",We can't believe that a movie with some foul language would piss you off so much.
205,308,"00:14:18,477","00:14:19,686",Because it's evil!
206,309,"00:14:19,770","00:14:22,146",Can I finish? Please! Can I finish?
207,310,"00:14:23,107","00:14:24,232","Okay, I'm finished."
208,311_312,"00:14:24,316","00:14:28,152","But, Mr. Minister, it isn't like this film is the first troublesome thing to come out of Canada."
209,313,"00:14:28,237","00:14:29,821",Let us not forget Bryan Adams.
210,314_315,"00:14:29,905","00:14:32,990","Now, now. The Canadian government has apologized for Bryan Adams on several occasions."
211,316_317,"00:14:33,075","00:14:36,703","You Canadians are all the same, with your beady little eyes and flapping heads!"
212,318,"00:14:36,787","00:14:38,788",- You're trash. - I resent that! I find that racist!
213,319,"00:14:38,872","00:14:40,456",Our children are now addicted to your filth!
214,320,"00:14:40,541","00:14:42,208","You are a racist, ma'am. You are a racist."
215,321_322,"00:14:42,292","00:14:47,088",It is going to take us weeks to erase the damage this film has done to our children!
216,323,"00:14:50,175","00:14:53,553","Kids, I wanna welcome you to rehabilitation, m'kay?"
217,324_325,"00:14:53,637","00:14:59,308",Your mothers insisted that you be taken from your normal schoolwork and placed into rehab to learn not to swear.
218,326,"00:14:59,393","00:15:01,060","I must say, I don't think I belong with these rogues."
219,327,"00:15:01,145","00:15:03,855",I attended school at Yardale and had a 4.0 grade point average.
220,328,"00:15:03,939","00:15:05,231","You're a fucking faggot, dude."
221,329,"00:15:05,315","00:15:08,443","M'kay. You see, children? This is exactly what I'm talking about."
222,330,"00:15:08,527","00:15:10,737",We have to get you off of foul language.
223,331,"00:15:10,821","00:15:13,573","- How are we gonna do that? - Well, listen here."
224,332_333,"00:15:13,657","00:15:20,121","There are times when you get suckered in By drugs and alcohol and sex with women, m'kay?"
225,334_335_336,"00:15:20,205","00:15:31,174","But it's when you do these things too much That you've become an addict and must get back in touch You can do it It's all up to you, m'kay?"
226,337_338_339_340_341_342_343_344_345_346_347_348_349_350_351,"00:15:31,759","00:16:07,627","With a little plan you can change your life today You don't have to spend your life addicted to smack Homeless on the streets giving hand-jobs for crack Follow my plan and very soon you will say ""It's easy, m'kay?"" Step one, instead of ""ass"" say ""buns"" Like ""Kiss my buns"" or ""You're a buns-hole"" Step two, instead of ""shit"" say ""poo"" As in ""bull-poo,"" ""poo-head"" and ""This poo is cold"" Step three, with ""bitch"" drop the ""T"" 'Cause ""bich"" is Latin for ""generosity"" Step four, don't say ""fuck"" anymore 'Cause ""fuck"" is the worst word that you can say So just use the word ""m'kay"" we can do it It's all up to us, m'kay?"
227,352_353_354_355_356_357_358_359_360_361_362_363_364_365_366_367_368_369,"00:16:07,711","00:16:44,497","M'kay With a little plan we can change our lives today You can change it today You don't have to spend your life shooting up in the trash Homeless on the streets giving hand-jobs for cash Follow this plan and very soon you will say ""It's easy, m'kay?"" - Step one - Instead of ""ass"" say ""buns"" - Like ""Kiss my buns"" - Or ""You're a buns-hole"" - Step two - Instead of ""shit"" say ""poo"" - As in ""bull-poo"" - ""Poo-head"" And ""This poo is cold"" - Step three - With ""bitch"" drop the ""T"" 'Cause ""bich"" is Latin for ""generosity"" - Step four - Don't say ""fuck"" anymore 'Cause ""fuck"" is the worse word that you can say ""Fuck"" is the worse word that you can say We shouldn't say ""fuck"" No, we shouldn't say ""fuck,"" fuck, no!"
228,370_371_372_373_374_375,"00:16:44,581","00:16:55,675","You're cured, you can go You don't have to spend your life shooting up in the trash Homeless on the streets giving hand-jobs for cash Follow this plan and very soon you will say ""It's easy, m'kay?"" It's easy, m'kay?"
229,376,"00:16:55,759","00:16:57,844","- It's easy, m'kay? - It's easy, m'kay?"
230,377_378,"00:16:57,928","00:17:02,265","- It's easy, m'kay? - It's easy It's easy It's easy, m'kay?"
231,379,"00:17:03,767","00:17:05,935",M'kay. M'kay.
232,380,"00:17:07,271","00:17:08,312",Now you're cured.
233,381,"00:17:08,397","00:17:12,233","You can take the rest of the afternoon off for personal reflection, m'kay?"
234,382,"00:17:12,317","00:17:15,945","Find your own constructive way to better yourself, m'kay?"
235,383_384,"00:17:18,031","00:17:20,700","Well, Phillip, I hope you've learned something through this whole experience."
236,385,"00:17:20,784","00:17:24,036","I did, Terrance. I learned that you are a boner-biting dick-fart fuck-face."
237,386,"00:17:26,039","00:17:28,416",Want to see the northern lights?
238,387,"00:17:30,460","00:17:33,546",You burned yourself to death by lighting your fart!
239,388,"00:17:33,630","00:17:35,089","I sure did, Phillip."
240,389,"00:17:36,300","00:17:39,886",Uncle fucker! Too tight!
241,390,"00:17:44,683","00:17:46,976","Man, that movie gets better every time I see it."
242,391,"00:17:47,060","00:17:48,686","- Hey! - Yeah, but you know what?"
243,392,"00:17:48,770","00:17:50,271",That whole part about lighting farts is bullshit.
244,393,"00:17:50,355","00:17:51,355",You can't do that.
245,394,"00:17:52,524","00:17:53,524",No way!
246,395,"00:17:54,651","00:17:57,653","Okay, Kenny, I'll bet you $100 you can't light a fart on fire!"
247,396,"00:18:04,828","00:18:07,163","- Holy shit, dude! - Ahh! Oh, my God!"
248,397,"00:18:07,998","00:18:10,166","Oh, shit! Oh, shit!"
249,398,"00:18:10,709","00:18:13,252",- Somebody do something! - This stick is on fire!
250,399,"00:18:19,635","00:18:22,470","- Oh, my God, you killed Kenny! - You bastard!"
251,400,"00:18:22,554","00:18:25,056","Well, I guess you can light a fart on fire, huh?"
252,401,"00:18:27,935","00:18:30,227",Load that IV with 70 cc's of sodium pentothal!
253,402,"00:18:30,312","00:18:32,313","- We just called the parents. - Oh, shit, dude!"
254,403_404,"00:18:32,397","00:18:34,982",Now our moms are gonna find out we went to the Terrance and Phillip movie again!
255,405_406,"00:18:35,067","00:18:38,903",Vacuum! Try to untangle his trachea and esophagus.
256,407,"00:18:38,987","00:18:40,321","- Dude! - No, that doesn't go there!"
257,408_409,"00:18:43,158","00:18:45,952","Oh! - Gross, Stan! - That's sick."
258,410,"00:18:46,036","00:18:48,287",- Watch his liver. - I'll get it.
259,411,"00:18:48,872","00:18:50,331","We have precious little time left, people."
260,412,"00:18:50,415","00:18:51,415",We're gonna lose him soon.
261,413,"00:18:51,500","00:18:53,960","- Doctor, his heart stopped! - Let's get it out of there."
262,414,"00:18:54,044","00:18:56,295",We need to zap this quick!
263,415,"00:18:57,839","00:19:00,925","- Who's making a potato? - My bad, sir. I missed lunch."
264,416,"00:19:01,009","00:19:03,678",Damn it! I'm not gonna lose this kid!
265,417,"00:19:03,971","00:19:06,055",Close him up. We've done all we can.
266,418,"00:19:06,139","00:19:08,182",The rest is up to God.
267,419,"00:19:09,768","00:19:12,561","Kenny? Kenny, can you hear me?"
268,420,"00:19:12,646","00:19:14,188","How are you feeling, son?"
269,421,"00:19:15,607","00:19:17,900","Great. Son, I have some bad news."
270,422,"00:19:17,985","00:19:20,695",We accidentally replaced your heart with a baked potato.
271,423,"00:19:20,779","00:19:21,988",You have about three seconds to live.
272,424,"00:19:23,740","00:19:25,491","Ah! Fucking weak, dude!"
273,425,"00:19:25,575","00:19:28,369","- Oh, my God, they killed Kenny! - You bastards!"
274,426,"00:19:28,453","00:19:32,498",Damn it! It never gets any easier!
275,427,"00:19:36,420","00:19:39,338",I bet him he couldn't do it. I bet him $100.
276,428,"00:19:39,423","00:19:40,840","Come on, Cartman, it's not your fault."
277,429,"00:19:40,924","00:19:42,925","No, I know. I'm just fucking stoked I don't have to pay him."
278,430,"00:19:43,010","00:19:46,429","Oh! That's real nice! He was your friend, you fat fuck!"
279,431,"00:19:46,513","00:19:49,682","So, boys, you saw that movie again?"
280,432,"00:19:49,766","00:19:52,101","- Yes. - Well, Kyle, I have had it!"
281,433,"00:19:52,185","00:19:54,395",You are grounded for the next two weeks!
282,434,"00:19:55,897","00:19:58,441","- Grounded? - And you, Stan. Come on."
283,435,"00:19:58,525","00:20:00,818","And you're grounded for three weeks, Eric."
284,436,"00:20:00,902","00:20:03,070",Why am I grounded more? That's fucking bullshit!
285,437,"00:20:04,281","00:20:06,198","What? What? What? What was that word, young man?"
286,438_439,"00:20:20,881","00:20:27,428",Little boy at peace What is this place beyond the stars?
287,440_441,"00:20:27,971","00:20:34,894",Open up your eyes What are these things you're moving toward?
288,442_443_444,"00:20:34,978","00:20:43,319",Head so full of wonder Worries in the past Could it be that you are free at last?
289,445_446,"00:20:45,197","00:20:55,748",No! Little boy You're going to hell!
290,447_448_449,"00:20:55,832","00:21:02,213","You said bad words Threw rocks at the birds And now this is your hotel You ain't going back This ain't Disneyland, it's hell!"
291,450_451_452_453,"00:21:03,256","00:21:11,847","Little boy, it's time for you to pay For hurting that bird and not going to church And staring at boobs every day Thought you were in bed Instead, you're in hell!"
292,454,"00:21:13,183","00:21:16,268","Hell isn't good, hell isn't good Hell!"
293,455,"00:21:17,521","00:21:19,688","Hell isn't good, hell isn't good Hell!"
294,456,"00:21:21,691","00:21:23,359","Hey, fuck-face, have you seen Gracie?"
295,457,"00:21:23,443","00:21:26,862",There is orderliness in the universe.
