,dialog
42," Only those prescribed by my doctor, sir."
43,"Well, that's kind of rare for a young, hip soul brother like you."
44,"Uh, yes, sir."
45,"But my father was in the military, and my parents, they raised me the right way."
46," How do you get along with people, generally?"
47," Sir, they treat me right, I treat them right."
48,"Like I said before, I was raised up the right way, so..."
49,"I mean, have you ever had any negative..."
50,What would you do if another cop called you a nigger?
51,Or worse.
52," Would that happen, sir?"
53, Shit...
54,CHIEF CLEARS THROAT There's never been a black cop in this city.
55,"Now, if we make you an officer, you will, in effect, be the Jackie Robinson of the Colorado Springs Police Force."
56,"And if you know anything about Jackie Robinson, you know he had to take a lot of, uh, uh, guff from his fellow teammates, the fans, other teams and the press."
57,"I know the Jackie Roosevelt Robinson story, sir."
58,"Good. So, knowing that, if somebody calls you a nigger, will you be able to turn the other cheek?"
59,"SNIFFS If I had to, sir, yes. Yes, I would."
60,"Son... the mayor, the chief and I think you might be the man to open things up around here."
61, Chief Bridges will be your Branch Rickey.
62, I'll have your back.
63,But I can only do so much.
64,The weight of this is going to be on you...
65, and you alone.
66," Thank you for the opportunity, gentlemen."
67, Wow. Cybill Shepherd.
68, CHUCKLES Yeah.
69,"I loved her in ""The Last Picture Show""."
70,Never saw it. I don't like blackandwhite movies.
71," So, what do you think?"
72, I think she's a really good actress.
73,"Oh, come on. You know you want  some of that."
74, DOOR OPENING  MAN: Looking for a toad here.
75, You're up.
76,"DOOR CLOSES Give me the record for that toad, Maurice Smalls."
77,"While you're at it, grab another toad, Tippy Birdsong."
78,TIPPY.
79,KNOCKING ON GLASS Can I help you?
80," May I have a minute, please?"
81, Sit.
82,"SIGHS Sergeant Trapp, Chief Bridges, I'll get right to it."
83, I'd like to be an undercover detective.
84," What, like Narcotics?"
85," Whichever department works, sir."
86," You just joined the force, rookie."
87,I think I can do some real good there.
88, Is that right?
89, I'm young.
90,There's a real niche for me.
91, Get in where I fit in.
92," You think a lot of yourself, don't you?"
93,I'll do whatever it takes.
94,And I hate the records room.
95,CHUCKLING Well...
96,"I think records is a good place for you to start, rookie."
97,"Chief, do you want me cleanshaven?"
98,I can even chop down the natural.
99,"No, no, no. You keep it."
100,I like the look.
101,I need a file on a toad.
102,You deaf? I said I need a file on a toad.
103, No toads here.
104, Excuse me?
105,I said I don't have any toads.
106,I do have human beings.
107,"You give me their names, I'll get you the file."
108,"I heard you think you're hot shit, but you ain't nothing but a cold fart."
109,The name is Steven Wilson.
110,"PHONE RINGS IN DISTANCE Was that respectful enough for you, Officer Toad?"
111,"""OH HAPPY DAY"" BY THE EDWIN HAWKINS SINGERS PLAYS   Oh, happy day    Oh, happy day    Oh, happy day    Oh, happy day   When Jesus washed    When Jesus washed   PHONE RINGING   Oh, when he washed    When Jesus washed   When Jesus washed    When Jesus washed    He washed my sins away    Oh, happy day   CONTINUES RINGING  Oh, happy day   Hello."
112," It's Bridges, you sleeping?"
113," Uh, yeah, Chief, um, worked an allnight shift."
114, I've changed my mind.
115,You're coming in a little early today.
116, I got an assignment for you.
117," CLEARS THROAT, COUGHS 12:00 noon sharp. Narcotics division."
118," Yes, sir."
119, Wear street clothes.
120,Thank you.
121,"  He washed my sins away    Oh, happy day   CP time?"
122," Jimmy, the rookie's late."
123," You're late, rookie."
124, Sorry. Won't happen again.
125,"We have limited time, so I'll be quick."
126,"The black radical, Stokely Carmichael, is giving a speech tonight at Bell's Nightingale."
127, Yep.
128, Carmichael is a former highmucketymuck with the Black Panthers.
129,"And as far as I'm concerned, FBI Director J. Edgar Hoover was dead right when he said the Black Panthers are the greatest internal threat to the security of these United States."
130,"This Carmichael joker, former Panther or not, well, they say, he is a damn good speaker, and so we don't want this Carmichael getting into the minds of the good black people here in Colorado Springs and stirring them up."
131,"Ron, your assignment is to go to this speech tonight, infiltrate this bunch of subversives and just monitor the audience reaction to Carmichael's speech."
132, You ready?
133, Born ready.
134,I'm not ready.
135,RON SIGHS  Any chance this thing fucks up?
136," Oh, fuck yeah."
137, Then what?
138, JIMMY: Just stick to the game plan.
139, Which is?
140, Uh... improvise.
141, Like jazz.
142, Like bebop.
143, JIMMY SCATTING  This isn't some big bust.
144,We just want some intel. That's it.
145,And what if someone offers you a marijuana cigarette?
146, You mean a joint?
147, Yeah. Mary Jane.
148,INHALES DEEPLY COUGHING Excuse me.
149,"Soul brother,  I'm already high on life. Can you dig it?"
150, LAUGHS  It's dug.
151, My man.
152, And if someone pulls a gun on you?
153, Will that happen?
154, Barrel of a .45 in your face.
155, Shit.
156,Finger on the trigger. Now what?
157,"Blood, get that gun out of my face. Peace, love and soul."
158,Gun is still in your face.
159,"I deescalate... talk calmly, firmly."
160, Find a way out of there ASAP.
161, Relax. We'll be outside listening in.
162, Okay.
163, Got it?
164,SIGHS I got it. I'm gone.
165,Here we go.
166,INDISTINCT CHATTER I just have so many questions to ask him.
167, But...
168, Um...
169,"How are you, uh..."
170," how are you doing this evening, my sister?"
171, Can we help you?
172," I'm doing fine, my brother. CHUCKLES  What? We don't know him."
173,"What? Hakeem, why you dragging me?"
174, It's going to be an amazing night.
175," Indeed, it is."
176,Have you heard Brother Kwame speak before?
177,Who?
178," CHUCKLES Uh, Kwame Ture."
179," Oh, uh, uh... well, actually, I haven't, but..."
180, Okay.
181, I didn't realize he changed his name.
182," RON CHUCKLES  Uh, yes, after he moved to Africa."
183,"He took the names of Kwame Nkrumah of Ghana and his mentor, S  kou Tour   of Guinea, to honor the great leaders."
184," Well, that is heavy."
185, Mmhmm.
186,You know how he got to Colorado Springs?
187,"Yeah, yeah. The, uh, Colorado College Black Student Union  invited him."
188," Oh, I can dig it."
189, I can dig it.
190, Mmhmm.
191,"Are you, uh... are you part of the Union?"
192,I'm the president.
193,Really? I'm talking to the president right now?
194," Yes, you are."
195," Right on, sister."
196," Well, I bought a ticket."
197, Mmhmm.
198,May I skip the line since I'm talking to the president?
199,There's no cutting in line.
200,To the back.
201,RON: OVER SPEAKER See you inside?
202,"PATRICE: I'll see you inside, my brother."
203, RON: Mrs. President.
204, PATRICE: Right on.
205," Ungawa, Black Power!"
206, CHEERING AND APPLAUSE The Black Student Union of Colorado College is honored to bring the vanguard of revolutionaries fighting for the rights of black people all over the world.
207," CHEERING AND APPLAUSE  Let's show some black love to the one and only, the brother man with a plan  who is sticking it to the man."
208," WOMAN: Right on, right on."
209,"Put your hands together, my people, for our Kwame Ture."
210,"CHEERING, APPLAUSE AND WHISTLING INDISTINCT SHOUTING AND CHEERING KWAME TURE: Thank you, Sister Patrice."
211, Thank you.
212, And the Black Student Union.
213,"I want to thank all of you, my beloved sisters and brothers, for coming out tonight."
214, WOMAN: Okay!
215, CROWD MURMURING But I'm here tonight to tell you that it is time for you to stop running away from being black.
216, MAN: Boomshakalaka!
217," CROWD MURMURING It is time for you to stop running away from being black. You're college students, right?"
218, WOMAN: Right on.
219, WOMAN2: That's right.
220,You should think.
221,"It is time for you to understand that you, as the growing intellectuals of this country, that you must define beauty for black people."
222, WOMAN: Okay!
223," Now, that's Black Power."
224,"CHEERING, APPLAUSE AND WHISTLING Let me ask you something... is beauty defined as someone with a narrow nose?"
225, CROWD: No!
226, Thin lips?
227,CROWD: No!
228,WHISPERS White skin?
229, Uhuh.
230, CROWD: Hell no!
231, Hell no.
232, Hell no!
233,'Cause you ain't got none of that.
234, WOMAN: No. Okay.
235, LIGHT LAUGHTER APPLAUSE Our lips are thick.
236, MAN: Yes.
237," WOMAN: Yes, they are!"
238, Our noses broad.
239, MURMURS OF AGREEMENT  Our hair is nappy.
240, CROWD: Yes!
241,"We are black, and we are beautiful!"
242, WOMAN: Yes!
243, MAN: Boomshakalaka!
244,"CHEERING, APPLAUSE AND WHISTLING You see, we want to be so much like the white people who oppress us in this country."
245, WOMAN: Nope!
246," And because they hate us, and because we are ashamed of our African heritage, we then hate ourselves."
247, WOMAN: Preach.
248, CROWD MURMURING KWAME TURE CHUCKLING  Y'all don't hear me tonight.
249, PATRICE: We hear you.
250,Y'all dig Tarzan?
251,QUIET MURMURING Tarzan. I'm gonna be honest.
252,"When I was a boy, I used to go to the Saturday matinees and watch Tarzan all the time."
253, WOMAN: Okay.
254," MAN: Yeah, yeah."
255,And white Tarzan used to beat up the black natives.
256,WOMAN: Mmm. Mmhmm.
257,"And I would sit there, yelling, ""Kill the beasts!"
258,"""Kill the savages. Kill them. Kill them! Kill them! Kill them!""  But what I was saying was: ""Kill me""."
259, CROWD: That's right.
260,It was as if a young Jewish boy saw Nazis taking Jews off to concentration camps and cheered them on.
261,"Today, I want those chiefs to beat the hell out of Tarzan and send his lily white ass on back to the caves of Europe."
262,"CHEERING, APPLAUSE AND WHISTLING  MAN: Boomshakalaka!"
263, Right on.
264,Right on.
265,But it takes time.
266,It takes time to become free of the lies and their shaming effects on the black mind.
267, WOMAN: Okay.
268, It takes time to reject the most important lie: that black people can't do the same things  that white people do...
269, WOMAN: That's a lie.
270,...unless a white person helps them.
271,WOMAN: Talk about it.
272,KWAME TURE: Black Power also means that we must unite.
273,"We must unite, and we must organize to form a base to fight racism."
274, WOMAN: Okay!
275, PATRICE: Yes. Yes.
276,To fight our oppressors.
277,"The vast majority of Negroes around this country, they live in captive communities."
278,"And they must endure their oppression and their conditions, because and only because  they are black and powerless."
279, WOMAN: Educate. Educate.
280,And now...
281,now we are being shot down like dogs in the streets by white racist cops.
282, CROWD MURMURING OVER SPEAKER  WOMAN: Speak the truth.
283,KWAME TURE: I said we are being shot down in the streets by white racist cops!
284," CROWD CHEERING, SHOUTING  WOMAN: Fuck the police."
285,We can no longer endure this kind of oppression without retribution.
286, APPLAUSE  WOMAN: Hell no!
287," CHEERING, WHISTLING  WOMAN: No more."
288,"That war in Vietnam, it is not only illegal, it is immoral."
289, WOMAN: That's right.
290, WOMAN2: Talk about it.
291,KWAME TURE: And you know what I tell them?
292, Hell no... we won't go!
293," CROWD: Hell no, we won't go!"
294,"Hell no, we won't go! Hell no, we won't go!"
295,"Hell no, we won't go! Hell no, we won't go!"
296,"Hell no, we won't go! Hell no, we won't go!"
297,"Hell no, we won't go!"
298," Hell no, we won't go!"
299, MAN: We ain't going!
300,I'd rather see a brother kill a white racist cop than kill a Vietnamese.
301," CROWD MURMURING OVER SPEAKER  WOMAN: Me, too."
302,"KWAME TURE: Because at least, if he kills a racist cop, he is doing it for a reason: because they are shooting black people in the backs..."
303,"in these streets, right here in this very country."
304,CHEERING AND APPLAUSE  They're killing us like dogs!
305, MAN: Boomshakalaka!
306,Right here!
307,Right here!
308,"I just want to leave you, uh, in closing 'cause I know it's getting late and y'all gotta go party."
309," I'm sorry, study."
310, LAUGHTER  Um... CHUCKLES  WOMAN: We love you!
311,"I just want to leave you, sisters and brothers, with these last words."
312,"If I am not for myself, who will be?"
313,"CROWD MURMURING If I am for myself alone, who am I?"
314, WOMAN: Right.
315," MAN: Hear, hear."
316," If not now, when?"
317, WOMAN: When?
318," And if not you, who?"
319, CROWD: Who? Who?
320,Who? Who?
321,"We need an undying love for black people, wherever we may be."
322, All power to all the people.
323, CHEERING AND APPLAUSE CROWD: All power to all the people!
324,All power to all the people! All power to all the people! All power to all the people!
325,All power to all the people!
326,All power to all the people!
327," ""All power to all the people.""  Pretty powerful stuff."
328,"Incredible words, Brother Kwame."
329, Thank you so much.
330, Thank you.
331,"Thank you, brother. Appreciate it."
332,Brother... I gotta ask you something.
333,Do you really think war between the black race and the white race is inevitable?
334,"Let me tell you. Arm yourself, brother. Get ready, 'cause the revolution is coming."
335,"Pick up a gun and arm yourself, because trust me, it's coming."
336, Thank you for coming tonight.
337, God bless you.
338,You looked great on that stage tonight.
339," Thank you, my brother."
340, All right.
341,"I don't know what you have planned now, but maybe I can buy you a drink?"
342,"Uh, I, uh... I gotta make sure Brother Kwame  is all squared away..."
343, What?!
344,...and he gets to his hotel safely.
345,SIGHS I can dig it.
346,"But, you know, um, if it's not too late, maybe I can meet you at the Red Lantern?"
347, You know where that is?
348, Mmhmm.
349, So I'll see you then.
350, Damn right. Ye... yes.
351, Cool.
352, PATRICE CHUCKLES RON: OVER SPEAKER All power to all the people.
353,WOMAN: Hey. How you doing?
354, Sorry I'm late.
355, Hey.
356, You won't believe what happened.
357, BARTENDER: What are you having?
358,"Bro Pope, 7 and 7, please."
359, Pigs pulled us over.
360, Say what?
361,I don't want to see nothing but black asses and black elbows.
362,Spread 'em!
363,"You that socalled bigshot Panther nigger, aren't you?"
364," I heard you was in town, Stokely."
365, My name is Kwame Ture.
366,I don't give two shits what your nigger name is!
367,"Black bitch... you get this Black Panther out of Colorado Springs before sunrise, you hear me?"
368, Or you'll all go to jail.
369, We were born in jail.
370,CHUCKLES  Oh...
371, Don't touch me!
372, Don't touch her!
373, Get your fucking hands off of me!
374, Get your hands off of her!
375, Get your white hands off!
376,"Keep your hands off of her! Come on, get your hands off of her!"
377,Get off of me! Get off of me!
378, Wait!
379," Let her go, man!"
380,You see the officers' names?
381,"I know I should have, but... the whole thing was so frightening,  I didn't."
382," Oh, come on."
383, Let's dance. Follow me.
384, Mmm...
385,"Come on. Come on, come on, come on."
386," To turn back now   I believe, I believe, I believe I'm falling in love   It's too late to turn back now   I believe, I believe I believe I'm falling in love   I found myself phoning her at least ten times a day   You know, it's so unusual for me to carry on this way    I tell you, I can't sleep at night    Sleep at night    Wanting to hold her tight    Hold her tight   I've tried so hard to convince myself that this feeling just can't be right    And I'm telling you    It's too late to turn back now   I believe, I believe, I believe I'm falling in love   It's too late to turn back now   I believe, I believe, I believe I'm falling in love   It's too late    To turn back now    Mmm, baby   I believe, I believe, I believe I'm falling in love   It's too late to turn back now, I tell you   I believe, I believe, I believe I'm falling in love    Oh, I wouldn't mind it...   LAUGHING What?"
387, LAUGHING  No.
388," Come on, you know it, you know it."
389, Uhhuh.
390," But I hate to think that I'm in love alone   And nothing that I can do   Oh, it's too late to turn back now   I believe, I believe, I believe I'm falling in love...  What was the room like?"
391,Folks were hanging on every word.
392,Like a Baptist church on Christmas Sunday morning.
393, BRIDGES: Huh.
394, Mmhmm.
395,Sounds like he had them pretty riled up.
396,"RON: But I don't think that means black folks were ready to start the revolution, Chief."
397,What makes you say that?
398,Nobody in there was talking about that.
399, That wasn't the vibe. Everybody was cool.
400, Let me get this straight.
401,He told a room of black folk to get ready for a race war.
402,That they were going to have to arm themselves and kill cops.
403,"I mean, what about that?"
404,"Yeah, he said that, but, Chief, I think it was just talk, you know? Rhetoric."
405,"That's what I thought, too."
406, Jimmy?
407, Like my partner said.
408,"BRIDGES: All right, well, thank goodness Carmichael has left Colorado Springs."
409, Kwame Ture.
410, What?
411,He changed his name from Stokely Carmichael to Kwame Ture.
412,"I don't care if he changed his name to that draft dodger, Muhammad Ali."
413, All right? He's still dangerous.
414, LAUGHTER  Did you hear the story Patrice told me?
415," No, I didn't."
416,About how the CSPD pulled over her and Ture?
417,"Patrice... she's the one from the Black Student Union, the group that brought in Ture?"
418," Kwame Ture. Correct, sir."
419," Getting pretty chummy with her, huh?"
420,"No, just doing my job, Chief. Undercover."
421,Let's just make sure it ain't under the cover of the sheets.
422," I would never jeopardize a case, sir."
423, He doesn't know what he'd do. You're new.
424,"You guys sit tight. Ron, come with me."
425," Ron, I'm transferring you to Intelligence."
426, What will I be doing there?
427,Intelligence.
428,Against my better judgment.
429,"FLIP: Five, four, three,  two, one."
430, CLANGING IN TRASH CAN Swish!
431,PHONE RINGING OFFICER: Police department.
432,He is at lunch.
433,"Excuse me? Yes, yes."
434,"LINE RINGS, CLICKS MAN: RECORDED You have reached the Colorado Springs chapter of the Ku Klux Klan."
435,Please leave a message.
436, And God bless white America.
437, BEEP Hello. This is Ron Stallworth calling.
438,"I saw your advertisement in the ""Colorado Springs Gazette""."
439,I'm interested in receiving some reading materials from you.
440,My phone number is 1039994.
441,I'm very much looking forward to you returning my call.
442,"RINGING Yeah, who's this?"
443, Ron Stallworth here.
444, This is Walter returning your call.
445,From the Organization.
446, The Organization?
447, That's right.
448,We appreciate your interest.
449,What's your story?
450,"Well, since you asked..."
451,"Since you asked, I hate niggers."
452, I hate Jews.
453, Huh?
454,Spics and Micks. Dagos and Chinks.
455,"But my mouth to God's ears, I really hate those nigger rats."
456,"And anyone else, really, that doesn't have pure white Aryan blood running through their veins."
457,"My sister, Pamela, she was just recently accosted by one of those black coons."
458, Is that so?
459, Yeah.
460,Every time I think about that black baboon putting his filthy black hands on her pureaswhitedrivensnow body...
461,"I mean pure, Walter. She's a saint. She's an angel. It makes me want to puke."
462,You are just the kind of guy that we are looking for.
463," Listen, uh, when can you meet?"
464, How about Friday night after I get off work?
465,"That's a deal, buddy boy. We'll get right back to you with the details."
466," Take care, now."
467, God bless white America.
468,Did I just hear you use your real name?
469,"Oh, motherfucker."
470,"LAUGHING Yeah, motherfucker amateur hour."
471,"FLIP: That's your real name, right? Isn't..."
472,"Isn't it Ron Stallworth? Right, isn't that  his real name?"
473, Can't believe he just said that.
474,"Well, good luck, Ron, with your new redneck friends."
475,LAUGHTER  They want you to join the Klan?
476, They want to meet me first.
477, They want to meet you?
478, Mmhmm.
479,"Yeah, well, you probably shouldn't go to that meeting."
480," Good call, Sarge."
481," So you're a crazy son of a bitch, huh?"
482,"We'd have to go to Narcotics, meaning we'd have to deal with Chief Bridges."
483,"Yeah, I can't spare the men."
484,"TRAPP: Well, I've looked over the logs, Chief, and it seems you can spare them."
485,"Sergeant Trapp, Ron spoke to the man on the phone."
486,"All right, when they hear the voice of one of my guys, they're gonna know the difference."
487," How so, Chief?"
488, You want me to spell it out for you?
489,They're going to know the difference between how a white man talks and a Negro.
490,How exactly does a black man talk?
491,"Okay, Ron, what I think the chief is trying to say..."
492,"If you don't mind, I'd like to speak for myself."
493," Thank you, Sarge."
494, Sure.
495, You know what I'm trying to say.
496," Chief, some of us can speak King's English."
497,Others speak jive.
498,Ron Stallworth here happens to be fluent in both.
499,"SIGHS Okay, Ron, how do you propose to make this investigation?"
500,"Well, I've established contact and created some familiarity with the Klansman over the phone."
501,"I'll continue in that role, but I'll need another officer..."
502,"surprise, surprise, a white officer to play me when they meet facetoface."
503," See, that's my point exactly."
504," Chief, black Ron Stallworth over the phone, white Ron Stallworth facetoface, so there becomes a combined Ron Stallworth."
505, Can you do that?
506, I believe we can.
507,"With the right white man, we can do anything."
508,"Anything happens to one of my men, there won't be two Ron Stallworths."
509,There'll be none.
510,QUIET CHATTER DOOR OPENS FLIP: You're late.
511, Sorry. It'll never happen again.
512, Seems like I heard that one before.
513,"FLIP: Jimmy, when's the last time they let a rookie lead an investigation?"
514," Oh, that's right... never."
515," CHUCKLING Okay, all right, let's move on."
516,"Let's, uh... let's go to our bio."
517,Okay. Ron Stallworth. I do wholesale manufacturing.
518, Whereabout?
519, Pueblo.
520, What's that commute like?
521," Jimmy, I'm glad you asked."
522,It's a straight shot down I25.
523," Hour, tops."
524, It's a long ride.
525, What do we listen to?
526," KWYD, Christian talk in the morning, although the signal starts to cut out near Pueblo."
527,"On the way back, I like to turn it to Only I have to change it every time that British fag,  David Bowie, pipes on."
528, JIMMY: Whoa!
529, I love Bowie.
530," I mean, who doesn't, right?"
531,"Remember, you have to retain all the information you share with these guys  so I can be white Ron Stallworth."
532," Jimmy, I always wanted to be black."
533,All my heroes were black guys.
534,Willie Mays.
535, MAKES WHOOSHING SOUND Basket catch.
536, Wilt the Stilt.
537, Record hundred points in one game.
538, But you know my absolute favorite?
539, O.J.
540, Hoo!
541, JIMMY: Heisman pose!
542, FLIP: Whew!
543, RON: The Juice!
544, I love fucking O.J.
545,Orenthal James Simpson.
546, Bet you didn't know that.
547, Of course I did.
548,"We as a Negro people appreciate your love, but don't share that love with these guys."
549," For you, it's the fucking Osmonds, right?"
550," Hey, I love Marie Osmond."
551,"I get to play you, but you don't get to play me?"
552,"Jimmy, does that sound fair?"
553, Fair?
554," Not to me. Now, what else?"
555, Wh...who are you meeting with?
556, Walter... Breachway.
557, Become his friend. Let's get invited back.
558," Well, look at you. Okay. Anything else, sir?"
559,I'm on the phone with the Klan.
560, You meet with them in person.
561, And?
562,SIGHS  And you need to try and sound like my voice.
563," CHUCKLING Oh, boy."
564,All right. Here.
565," Me, too?"
566," Yeah. You, too, Jimmy."
567, Godfather.
568, RON: That's right.
569,"You wanted to be black, here's your chance."
570,Lookie here.
571,Some people say we've got a lot of malice.
572,Some say it's a lot of nerve.
573,Lookie here.
574,Some people say we got a lot of malice.
575,"JIMMY LAUGHS  Some... LAUGHS  RON: Come on, come on."
576,This is life and death here. Come on.
577," Oh, is it?"
578, Come on. Some say it's a lot of nerve. Nerve!
579, You want me to do this now?
580," Please, now."
581,"For all our sakes, do it now, please."
582, Some say it's a lot of nerve.
583," Let... let it flow, though. Let it flow."
584, I'm flowing.
585, Okay. I say we won't quit moving  till we get what we deserve.
586, I say we won't quit moving...
587, until we get what we deserve.
588," We've been buked, and we've been scorned."
589, We've been buke...
590," ""Buked."" Say that."
591," What does ""buked"" mean?"
592, Disrespected.
593," You've been disrespected, Flip. You."
594, Why doesn't he just say that?
595," We've been buked, and we've been scorned."
596," This has got to flow, from the..."
597,"We've been treated bad, talked about."
598,We've been buked. We've been scorned.
599," All right, get that shit out."
600," We've been treated bad,  talked about."
601," JIMMY LAUGHING Just as sure as you're born,  but just as sure as it take."
602," Just as sure as you're born,  but just as sure as it take."
603, Two eyes to make a pair. Huh!
604, Two eyes to make a pair.
605, Huh!
606,Huh!
607, Huh!
608, Huh!
609, Huh! Huh!
610, Huh!
611," Brother, we can't quit till we get our share."
612," Brother, we can't quit till we get our share."
613," Doesn't make grammatical sense, but okay."
614, Say it loud.
615,"I'm black, and I'm proud."
616," Say it for O.J., Jimmy. You, too."
617," ALL: Say it loud. I'm black, and I'm proud."
618,"Say it loud. I'm black, and I'm proud."
619, That's right. There it is.
620, JIMMY: Huh!
621,I believed you. CHUCKLES Lose that Jewish necklace around your neck.
622,"Jimmy, it's not a Jewish necklace."
623,It's a Star of David.
624,Okay.
625,"Flip, you're Jewish?"
626,I don't know. Am I?
627,DOOR OPENS AND CLOSES  Ron Stallworth?
628, That's me.
629, You must be Walter.
630, Name's Felix.
631,"Well, I was told I'd be meeting a Walter Breachway."
632,"Change of plans, Mac."
633,CAMERA CLICKING I'm gonna need you to hop in the truck.
634," Okay, well, how about I just follow you in my..."
635, No can do.
636,You come with me.
637,Security.
638,I'll drive you back.
639,"CAMERA CLICKS COUNTRY MUSIC PLAYING Come on, let's roll."
640," You for the white race, Ron?"
641," Oh, hell yeah."
642,Been having trouble lately with these local niggers.
643,"Ah, since the Civil War, it's always trouble with niggers."
644,FLIP GRUNTS  Walter said something about your sister.
645, Makes me sick.
646,What are they saying?
647, They saying where they're going?
648," SHUSHING But it's also, you know, camaraderie  I'm looking for with the Klan."
649, What the fuck did you say?
650, Camaraderie?
651," No, the other word."
652, The Klan?
653," Not ""the Klan""."
654,"It's ""the Organization""."
655,The Invisible Empire has managed to stay invisible for a reason.
656,Do not ever use that word.
657, You understand?
658," Hey, I overstand. Right. You got it."
659,The Organization.
660,Check this shit out. You're never gonna believe this.
661,What?
662,A fucking jig on our bumper.
663," Ron, he sees us. Back off."
664, Damn!
665,Let's get ready. Look under your seat.
666, Yeah.
667, What?
668, Pull it out.
669, FLIP LAUGHING FELIX LAUGHING Load 'er up. Put two in the chamber.
670,"Come on, load it up."
671,"Come on, load it."
672,Don't be messing with us.
673, LAUGHING The Organization.
674," Not so fast, buddy boy."
675,Hold your horses.
676,Mmm.
677,"Ron, glad you could make it."
678,"Walter Breachway, chapter president."
679,Ron Stallworth. I appreciate you inviting me out.
680,Absolutely. I've been impressed with our conversations over the phone.
681,I think you have a lot of fine ideas that could really help the cause.
682,"Well, I meant every word I said."
683,"You know, I've had my own share of runins with niggers."
684,"Matter of fact, it's what led me to the Organization."
685, Is that right?
686," Oh, it's become my salvation."
687,"See, I was, uh..."
688,shot and wounded by a couple niggers.
689,Then my wife was savagely raped by a whole pack of 'em.
690, God.
691," That's right, and not a one of them went to jail."
692, Huh.
693, Tell you what.
694,They're taking over.
695,"Hell, it's all you see on TV anymore."
696,Niggers selling soap. Niggers selling toothpaste.
697,Niggers selling automobiles.
698,"CHUCKLING Everywhere you look, it's niggers, niggers, niggers."
699,"Yeah, wasn't long ago them sumbitches wasn't on no TV."
700,You're forgetting about Uncle Ben and Aunt Jemima.
701,"Oh, dang."
702, I kind of like them niggers.
703, LAUGHING Rice and pancakes.
704," Hey, uh, my name's Ivanhoe, by the way."
705, Hey. Ron.
706,"Hey, all you get now is how we gotta cater to them. Now, watch your mouth. Yeah."
707,Don't say this. Don't say that. Be nice.
708," Hell, they ain't even colored no more."
709, Negroes. Blacks.
710, AfroAmericans now.
711," Yeah, fuck it."
712,Just call them fucking niggers.
713,Make it fucking simple.
714, CHUCKLES Niggers.
715, OTHERS: Niggers.
716, That's the right idea.
717, I've been saying this stuff for years.
718," Well, you ain't the only one."
719, It's good to know someone else gets it.
720,"So, what kind of stuff you guys do?"
721,"What kind of stuff we do? We, uh... uh, cross burnings and marches and stuff so people don't fuck with us."
722, I'm tired of niggers fucking with me.
723," Well, then you come to the right place."
724,Nobody fucks with us.
725,"Now, how much you know about the history?"
726, Some. I could know more.
727, We will teach you.
728," Yeah, this is fixing to be a big year for us."
729, How so?
730, Boom!
731, CHUCKLING All right.
732," We're gonna make fireworks, aren't we?"
733," All right, all right, Ivanhoe, shut your dumb mouth."
734,"Ivan, shut the fuck up."
735, Burnt ends.
736," All right, all right."
737,That's enough. Shut your dumb mouth.
738,Sorry about him. He drinks too much.
739,"Doesn't know what he's saying. CHUCKLING Just to be clear, the, uh..."
740, the Organization is strictly nonviolent.
741," Oh, nonviolent like that nigger, that dead nigger, Martin Luther Coon."
742," Yeah, gotcha."
