,dialog
139,"And in Paris, you can buy a beer in McDonald's."
140,You know what they call...
141,a Quarter Pounder with Cheese in Paris?
142,They don't call it a Quarter Pounder with Cheese?
143,They got the metric system.
144,They wouldn't know what the fuck a quarterpounder is.
145,What do they call it?
146,They call it a Royale with Cheese.
147,Royale with Cheese.
148,That's right.
149,What do they call a Big Mac?
150,"Big Mac's a Big Mac, but they call it Le Big Mac."
151,"IMITATING FRENCH ACCENT ""Le Big Mac"" LAUGHS What do they call a Whopper?"
152,I don't know. I didn't go into Burger King.
153,You know what they put on french fries in Holland instead of ketchup?
154,What?
155,Mayonnaise.
156,CHUCKLES Goddamn!
157,"I seen 'em do it, man."
158,They fuckin' drown 'em in that shit.
159,Yuck.
160,We should have shotguns for this kind of deal.
161,How many up there?
162,Three or four.
163,That's countin' our guy?
164,Not sure.
165,So that means that it could be up to five guys up there?
166,It's possible.
167,We should have fuckin' shotguns.
168,VINCENT: What's her name?
169,JULES Mia.
170,Mia. How did Marsellus and her meet?
171,I don't know.
172,However people meet people.
173,She used to be a actress.
174,"Oh, really?"
175,She do anything I'd have seen?
176,I think her biggest deal was she starred in a pilot.
177,Pilot? What's a pilot?
178,"Well, you know the shows on TV?"
179,I don't watch TV.
180,"Yeah, but you are aware that there is an invention called television, and on this invention they show shows, right?"
181,Yeah.
182,The way they pick TV shows is they make one show.
183,That show's called a pilot.
184,Then they show that one show to the people who pick shows...
185,"and on the strength of that one show, they decide if they wanna make more shows."
186,Some get chosen and become television programs.
187,"Some don't, become nothin'."
188,She starred in one of the ones that became nothing.
189,You remember Antwan Rockamora?
190,"Halfblack, halfSamoan."
191,"Used to call him ""Tony Rocky Horror."" Yeah, maybe. Fat, right?"
192,I wouldn't go so far as to call the brother fat.
193,He got a weight problem.
194,"I mean, what's a nigger gonna do? He's Samoan."
195,I think I know who you mean.
196,What about him?
197,Marsellus fucked him up good.
198,Word 'round the campfire is it was on account of Marsellus Wallace's wife.
199,ELEVATOR BELL RINGS So what he'd do? Fuck her?
200,"No, no, no, no, no."
201,Nothin' that bad.
202,"Well, then what then?"
203,He gave her a foot massage.
204,A foot massage?
205,That's it?
206,Mmhmm.
207,Then what'd Marsellus do?
208,Sent a couple cats over to his place.
209,They took him out on his patio.
210,Threw his ass over the balcony.
211,Nigger fell four stories.
212,"He had a little garden down at the bottom enclosed in glass, like a greenhouse."
213,Nigger fell through that.
214,"Since then, he kind of developed a speech impediment."
215,That's a damn shame.
216,Hmm.
217,"But still, you play with matches, you get burned."
218,What do you mean?
219,You don't be givin' Marsellus Wallace's new bride a foot massage.
220,You don't think he overreacted?
221,"Antwan didn't expect Marsellus to react the way he did, but he had to expect a reaction."
222,It was a foot massage.
223,A foot massage is nothin'.
224,I give my mother a foot massage.
225,It's laying your hands in a familiar way on Marsellus's new wife.
226,"I mean, is it as bad as eatin' her pussy out? No, but it's the same fuckin' ballpark."
227,"Whoa whoa whoa whoa, stop right there."
228,Eatin' the bitch out...
229,and givin' the bitch a foot massage ain't even the same fucking thing.
230,It's not.
231,It's the same ballpark.
232,Ain't no fuckin' ballpark neither.
233,"Now, look, maybe your method of massage differs from mine."
234,But touchin' his wife's feet and sticking your tongue in the holiest of holies...
235,ain't the same fuckin' ballpark; it ain't the same league; it ain't the same fuckin' sport.
236,Foot massages don't mean shit!
237,Have you ever given a foot massage?
238,SCOFFS Don't be tellin' me about foot massages.
239,I'm the foot fuckin' master.
240,You given a lot of them?
241,"Shit, yeah! Got my technique down and everything."
242,I don't be ticklin' or nothin'.
243,Would you give a guy a foot massage?
244,Fuck you.
245,CHUCKLES You give 'em a lot?
246,Fuck you.
247,"You know, I'm kind of tired."
248,I could use a foot massage.
249,"Yo, yo, yo, man."
250,You best back off.
251,I'm gettin' a little pissed here.
252,This is the door.
253,"Yeah, it is."
254,What time you got?
255,"No, it ain't quite time yet."
256,Come on. Let's hang back.
257,"Now, look, just 'cause I wouldn't give no man a foot massage don't make it right..."
258,"for Marsellus to throw Antwan off a building into a glass motherfuckin' house, fuckin' up the way the nigger talks; that shit ain't right."
259,"Motherfucker do that shit to me, he better paralyze my ass, 'cause I kill the motherfucker."
260,"I ain't sayin' it's right, but you sayin' a foot massage don't mean nothin'."
261,I'm sayin' it does.
262,"Now, look, I've given a million ladies a million foot massages, and they all meant somethin'."
263,"We act like they don't, but they do."
264,That's what's so fuckin' cool about them.
265,There's a sensuous thing goin' on...
266,"where you don't talk about it, but you know it and she knows it."
267,Fuckin' Marsellus knew it.
268,And Antwan should've fuckin' better known better.
269,"That's his fuckin' wife, man."
270,This ain't a man with a sense of humor about this shit.
271,You know what I'm sayin'?
272,It's an interestin' point.
273,Come on.
274,Let's get into character.
275,What's her name again?
276,Mia.
277,Mia.
278,Why you so interested in big man's wife?
279,"Well he's goin' out of town, Florida."
280,And he asked me if I'd take care of her while he's gone.
281,Take care of her?
282,"No, man. Just take her out."
283,Show her a good time.
284,Make sure she don't get lonely.
285,You're gonna be takin' Mia Wallace out on a date?
286,It is not a date.
287,It's just like if you were gonna take your buddy's wife to a movie or somethin'.
288,"It's just good company, that's all."
289,SIGHS It's not a date.
290,JULES SCOFFS It's definitely not a date.
291,"JULES SIGHS Hey, kids."
292,How you boys doin'?
293,"Hey, keep chillin'."
294,You know who we are?
295,"We're associates of your business partner, Marsellus Wallace."
296,"You do remember your business partner, don't you?"
297,"Now, let me take a wild guess here."
298,"You're Brett, right?"
299,Yeah.
300,I thought so.
301,"You remember your business partner Marsellus Wallace, don't ya, Brett?"
302,"Yeah, I remember."
303,Good. Looks like me and Vincent caught you boys at breakfast.
304,Sorry about that.
305,Whatcha havin'?
306,Hamburgers.
307,Hamburgers!
308,The cornerstone of any nutritious breakfast.
309,What kind of hamburgers?
310,"Uh, chcheeseburgers."
311,"No, no, no, no, no."
312,Where'd you get 'em?
313,"McDonald's, Wendy's, Jack in the Box?"
314,Where?
315,"Uh, Big Kahuna Burger."
316,Big Kahuna Burger!
317,That's that Hawaiian burger joint.
318,I hear they got some tasty burgers.
319,I ain't never had one myself.
320,How are they?
321,They're    They're good.
322,You mind if I try one of yours?
323,"This is yours here, right?"
324,Yeah.
325,Mmm hmmm.
326,This is a tasty burger!
327,Vincent!
328,You ever had a Big Kahuna burger?
329,Want a bite?
330,They're real tasty.
331,I ain't hungry.
332,"Well, if you like burgers, give 'em a try sometime."
333,"Me, I can't usually get 'em 'cause my girlfriend's a vegetarian, which pretty much makes me a vegetarian."
334,But I do love the taste of a good burger. Mmmm.
335,You know what they call a Quarter Pounder with Cheese in France?
336,No.
337,"Tell 'em, Vincent."
338,VINCENT A Royale with Cheese.
339,JULES A Royale with Cheese.
340,You know why they call it that?
341,"Uh, because of the metric system?"
342,Check out the big brain on Brett!
343,You're a smart motherfucker.
344,That's right. The metric system.
345,What's in this?
346,Sprite.
347,Sprite. Good.
348,You mind if I have some of your tasty beverage to wash this down with?
349,Go right ahead.
350,"SLURPING, SIGHS That hit the spot."
351,You. Flock of Seagulls.
352,You know why we're here?
353,Why don't you tell my man Vince here where you got the shit hid at.
354,It's over    I don't remember askin' you a goddamned thing!
355,You were sayin'?
356,It's in the cupboard.
357,"NNo, the one by your knknees."
358,PANS RATTLING RATTLING CONTINUES JULES We happy?
359,Vincent?!
360,We happy?
361,"Yeah, we happy."
362,"SIGHS BRETT Look, I'm sorry, uh, I    I didn't get your name."
363,I got yours. Vincent. Right?
364,BBut I never got yours.
365,"My name's Pitt, and your ass ain't talkin' your way outta this shit."
366,"No, no, no."
367,I just want you to know how    I just want you to know how sorry we are ththat things got so fucked up...
368,with us and Mr. Wallace.
369,WWe got into this thing with the best intentions.
370,"Really. I never    Oh, I'm sorry, did I break your concentration?"
371,GASPING I didn't mean to do that. Please.
372,Continue.
373,"You were saying something about ""best intentions."" What's the matter?"
374,"Oh, you were finished!"
375,"Oh, well, allow me to retort."
376,What does Marsellus Wallace look like?
377,What?
378,What country you from?
379,Wha What?
380,"""What"" ain't no country I ever heard of."
381,They speak English in What?
382,WWhat?
383,"English, Motherfucker!"
384,Do you speak it?
385,Yes!
386,Then you know what I'm sayin'!
387,Yes.
388,Describe what Marsellus Wallace looks like!
389,"What? I    Say ""what"" again!"
390,"Say ""what"" again! I dare ya!"
391,"I double dare you, motherfucker!"
392,"Say ""what"" one more goddamn time!"
393,HHHe's black.
394,Go on!
395,He's bald!
396,Does he look like a bitch?
397,What?
398,GUNSHOT SCREAMING Does he look...
399,like a bitch?
400,No!
401,"Then why you tryin' to fuck him like a bitch, Brett?"
402,I didn't.
403,"Yes, you did."
404,"Yes, you did, Brett!"
405,You tried to fuck him.
406,"GASPING No, no."
407,But Marsellus Wallace don't like to be fucked by anybody except Mrs. Wallace.
408,"You read the Bible, Brett?"
409,Yes!
410,"Well, there's this passage I got memorized."
411,Sort of fits this occasion.
412,Ezekiel 25:17.
413,"""The path of the righteous man..."
414,"""is beset on all sides by the inequities of the selfish..."
415,"""and the tyranny of evil men."
416,"""Blessed is he who, in the name of charity and goodwill, ""shepherds the weak through the valley of darkness, ""for he is truly his brother's keeper..."
417,"""and the finder of lost children."
418,"""And I will strike down upon thee with great vengeance..."
419,"""and furious anger..."
420,"""those who attempt to poison and destroy my brothers!"
421,"""And you will know my name is the Lord..."
422,"when I lay my vengeance upon thee!"" SCREAMS GUNSHOTS        ""LET'S STAY TOGETHER"" MARSELLUS I think you gonna find..."
423,when all this shit is over and done    I think you're gonna find yourself one smilin' motherfucker.
424,"The thing is, Butch, right now..."
425,you got ability.
426,"But painful as it may be, ability... don't last."
427,And your days are just about over.
428,"Now, that's a hard motherfuckin' fact of life."
429,But that's a fact of life your ass is gonna have to get realistic about.
430,"You see, this business is filled to the brim with unrealistic motherfuckers."
431,Motherfuckers who thought their ass would age like wine.
432,If you mean it turns to vinegar... it does.
433,If you mean it gets better with age... it don't.
434,"Besides, Butch, how many fights you think you got in you anyway?"
435,Hmm?
436,Two?
437,Boxers don't have an oldtimers' day.
438,"You came close, but you never made it."
439,"And if you were gonna make it, you would have made it before now."
440,       CONTINUES You my nigger?
441,Certainly appears so.
442,"CHUCKLES MARSELLUS The night of the fight, you may feel a slight sting."
443,That's pride fuckin' with you.
444,Fuck pride!
445,Pride only hurts.
446,It never helps.
447,You fight through that shit.
448,"'Cause a year from now, when you kickin' it in the Caribbean, you gonna say to yourself, ""Marsellus Wallace was right."" CHUCKLES I got no problem with that, Mr. Wallace."
449,"In the fifth, your ass goes down."
450,Say it.
451,"In the fifth, my ass goes down."
452,"Yo, Vincent Vega."
453,Our man in Amsterdam.
454,"Jules Winfield, our man in Inglewood."
455,Get your asses on in here.
456,"Goddamn, nigger, what's up with them clothes?"
457,You don't even want to know.
458,Where's the big man?
459,The big man's right over there takin' care of some business.
460,"Why don't you hang back a second or two. You see the white boy leave, just go on over."
461,VINCENT How ya been?
462,I been doin' pretty good.
463,How 'bout yourself?
464,All right.
465,So I hear you're takin' Mia out tomorrow.
466,At Marsellus's request.
467,Have you met Mia?
468,Not yet.
469,CHUCKLES What's so fuckin' funny?
470,Not a goddamn thing.
471,I got to piss.
472,"Look, I'm not a fuckin' idiot, all right?"
473,It's the big man's wife.
474,"I'm gonna sit across from her, chew my food with my mouth closed, laugh at her fuckin' jokes, and that's it."
475,"Hey, my name's Paul, and this shit's between y'all."
476,Then what'd you fuckin' ask me about it for?
477,WHISPERS Asshole.
478,Gimme a pack of Red Apples.
479,Filters?
480,No.
481,"You lookin' at somethin', friend?"
482,"You ain't my friend, palooka."
483,What was that?
484,"I think you heard me just fine, punchy."
485,MARSELLUS Vincent Vega's in the house?
486,"My nigger, get your ass over here."
487,What's up?
488,"Man, I'm really sorry."
489,You shouldn't worry about it.
490,Pack of Red Apples. $1.40.
491,And some matches.
492,Thanks.
493,WOMAN It's as if it turns every part of your body into the tip of a penis.
494,Whoa.
495,I'll lend it to you.
496,It's a great book on piercing.
497,"That gun to pierce your ears, they don't use that to pierce your nipples, do they?"
498,Forget that gun.
499,That guns goes against the entire idea behind piercing.
500,"All my piercing, 18 places on my body, every one of 'em done with a needle."
501,"Five in each ear, one through the nipple of my left breast, two in my right nostril, one in my left eyebrow, one in my belly, one in my lip, one in my clit, and I wear a stud in my tongue."
502,VINCENT Excuse me.
503,"I was just curious, but, um..."
504,why would you wear a stud in your tongue?
505,Sex thing.
506,Helps fellatio.
507,Vincenzo.
508,Step in my office.
509,This is Panda from Mexico.
510,Very good stuff.
511,"Now, that's Bava."
512,"Different, but equally good."
513,And that is Choco from the Harz Mountains of Germany.
514,"Now, the first two are the same. 300 a gram."
515,Those are friend prices.
516,But this one is a little more expensive.
517,This is 500 a gram.
518,"But, when you shoot it, you will know where that extra money went."
519,There's nothing wrong with these two.
520,"This is real, real, real good shit."
521,But this one is a fuckin' madman.
522,"Remember, I just got back from Amsterdam."
523,Am I a nigger?
524,Are we in Inglewood? No.
525,You're in my home.
526,"Now, white people who know the difference..."
527,"between good shit and bad shit, this is the house they come to."
528,"Now, my shit, I'll take the Pepsi Challenge with that Amsterdam shit..."
529,any old day of the fuckin' week.
530,That's a bold statement.
531,"This ain't Amsterdam, Vince."
532,This is a seller's market.
533,Coke is fuckin' dead as... dead.
534,"Heroin, it's comin' back in a big fuckin' way."
535,All right. Gimme three grams of madman.
536,Okay.
537,"Now, if it's as good as you say it is, I'll come back and buy another thousand."
538,"I just hope that I still have some left for ya, but I'm givin' you some out of my own private stash."
539,That is what a nice guy I am.
540,I'm outta balloons.
541,Is a baggie all right?
542,"Yeah, that's cool."
543,All right.
544,I'll just get one for ya.
545,"Honey, will you get me some baggies and, uh, twistix from the kitchen?"
546,WOMAN Okay.
547,"Hey, uh, what do you think about Trudi?"
548,She ain't got a boyfriend.
549,You wanna hang out and get high?
550,Which one's Trudi?
551,The one with all the shit in her face?
552,"No, that's Jody."
553,That's my wife.
554,"CHUCKLES I'm sorry, man."
555,Thank you.
556,"No, I can't."
557,I gotta be someplace.
558,"All right, no problemo."
559,I'll take a rain check.
560,KNOCKING Oh.
561,"Thank you, Jody."
562,Still got your Malibu?
563,"Oh, man, you know what some fucker did the other day?"
564,What?
565,Fuckin' keyed it.
566,"Oh, man, that's fucked up."
567,Tell me about it.
568,I had it in storage for three years.
569,"It was out five days, and some dickless piece of shit fucked with it."
570,"They should be fuckin' killed, man."
571,"No trial, no jury, straight to execution."
572,I wish I could've caught him doin' it.
573,I'd have given anything to catch that asshole.
574,It'd been worth him doin' it just so I could've caught him.
575,What a fucker!
576,What's more chickenshit than fuckin' with a man's automobile?
577,Don't fuck with another man's vehicle.
578,You don't do it.
579,It's just against the rules.
580,Thank you.
581,Thank you.
582,Mind if I shoot up here?
583,"Hey, mi casa es su casa."
584,Muchas gracias.
585,"       ""BULLWINKLE PART II"" CAR DOOR CLOSING MIA'S VOICE Hi Vincent. I'm getting dressed."
586,The door's open.
587,Come inside and make yourself a drink. Mia.
588,"       ""SON OF A PREACHER MAN"" Hello?"
589,    Billy Raye was a preacher's son         And when his daddy would visit he'd come along     Vincent.
590,MIA ON INTERCOM Vinceeent.
591,I'm on the intercom.
592,Where is    Where is the intercom?
593,It's on the wall by the two African fellows.
594,To your right.
595,Warm.
596,Warmer.
597,Disco.
598,Hello?
599,Push the button if you want to talk.
600,Hello?
601,"Go make yourself a drink, and I'll be down in two shakes of a lamb's tail."
602,The bar's by the fireplace.
603,Okay.
604,"    When he started sweet talkin' to me         He come and tell me everything is all right         He'd kiss me and tell me everything is all right         Can I get away again tonight         The only one who could ever reach me         Was the son of a preacher man         The only boy who could ever teach me         Was the son of a preacher man Yes, he was         He was         Lord he knows he was         Yes, he was     DRINK POURS CHOPPING     How well I remember         The look that was in his eyes         Stealing kisses from me on the sly         Taking time to make time         Telling me that he's all mine         Learning from each other's knowin'     SNIFFING     Looking to see how much we've grown         And the only one who could ever reach me         Was the son of a preacher man         The only boy who could ever teach me         Was the son of a preacher man Yes, he was         Was, was         He was         Oh, yes, he was        MUSIC STOPS MIA Let's go."
605,What the fuck is this place?
606,This is Jackrabbit Slim's.
607,An Elvis man should love it.
608,"SIGHS Come on, Mia."
609,Let's go get a steak.
610,"You can get a steak here, DaddyO."
611,"Don't be a    Oh, after you, kittycat."
612,"PEOPLE CHATTERING PEOPLE CHEERING Good evening, ladies and gentlemen."
613,"Now, how may I help you?"
614,There's a reservation under Wallace.
615,Wallace?
616,"       ""WAITIN' IN SCHOOL"" We reserved a car."
617,"Oh, a car."
618,Why don't you seat 'em over there in the Chrysler.
619,"    School gal, baby gonna tell you some news         Sure do look good in them babydoll shoes         It's one, two, buckle the shoes three, four, get out on the floor         Five, six, come get your kicks down at the corner of Lincoln and 46th, yeah         All right         I've been waitin' in school all day long         Waiting on the bell to ring so I can go home         Throw my books on the table Pick up the telephone         Come on, baby     MAN Coffee, please? Decaf!"
620,MARILYN Just a minute.
621,"    Heading down to the drugstore to get a soda pop         Throw a nickel in the jukebox then we start to rock         School gal baby gonna tell you some news         You sure do look good in them babydoll shoes         Well, it's one, two buckle the shoes         Three, four get out on the floor         Five, six, come get your kicks down at the corner of Lincoln and 46th     CHATTERING     Gonna rock all night just wait and see        MAN Ricky, Ricky, Ricky!"
622,PEOPLE CHEERING ED SULLIVAN IMPERSONATOR Let's hear it for Ricky Nelson!
623,"Fantastic job, Rick."
624,Thank you very much.
625,MIA Vincent!
626,"SULLIVAN Ah just to let you all know, Ricky will be back in the second half of our show, so we hope you enjoy your meals here at Jackrabbit Slim's."
627,Thank you.
628,Call for...
629,WAITER Phillip Morris.
630,MIA What do you think?
631,I think it's like a wax museum with a pulse.
632,"Hi, I'm Buddy."
633,What can I get you?
634,"       ""LONESOME TOWN"" Let's see, steak, steak, steak."
635,"Oh, yeah, I'll have the Douglas Sirk steak."
636,I'll have that.
637,How do you want that cooked?
638,Burned to a crisp or bloody as hell?
639,"Bloody as hell, and    Oh, yeah, look at this    vanilla Coke."
640,"What about you, Peggy Sue?"
641,I'll have the...
642,"Durward Kirby burger, bloody."
643,And... a fivedollar shake.
644,"How do you want that shake, Martin and Lewis, or Amos 'n Andy?"
645,Martin and Lewis.
646,Did you just order a fivedollar shake?
647,Mmhmm.
648,That's a shake?
649,That's milk and ice cream?
650,Last I heard.
651,That's five dollars? You don't put bourbon in it or nothin'?
652,No.
653,Just checking.
654,I'll be right back with your drinks.
655,"JUKEBOX     To lonesome town         To cry my troubles away     Could you, um..."
656,"roll me one of those, cowboy?"
657,"You can have this one, cowgirl."
658,Thanks.
659,IGNITES LIGHTER     The streets are filled with regret     Think nothin' of it.
660,    Lay me down in lonesome town         I can learn to forget        So...
661,Marsellus said you just got back from Amsterdam.
662,Sure did.
663,How long were you there?
664,INHALES Just over three years.
665,I go there about once a year to chill out for a month.
666,No kiddin'?
667,I didn't know that.
668,Why would you?
669,"       ""ACE OF SPADES"" I heard you did a pilot."
670,That was my 15 minutes.
671,What was it?
672,"It was a show about a team of female secret agents called ""Fox Force Five""."
673,What?
674,Fox Force Five.
675,"Fox, as in were a bunch of foxy chicks."
676,"Force, as in we're a force to be reckoned with."
677,"And five, as in there's onetwothreefourfive of us."
678,"There was a blond one, Sommerset O'Neal."
679,She was the leader.
680,The Japanese fox was a kung fu master.
681,The black girl was a demolition expert.
682,French Fox's speciality was sex.
683,What was your speciality?
684,Knives.
685,"The character I played, Raven McCoy, her background was she grew up raised by circus performers."
686,"According to the show, she was the deadliest woman in the world with a knife."
687,And she knew a zillion old jokes.
688,"Her grandfather, an old vaudevillian, taught her."
689,"And if we would have got picked up, they would've worked in a gimmick..."
690,where every show I would've told another joke.
691,You know any of them old jokes?
692,"Well, I only got the chance to say one 'cause we only did one show."
693,Tell me.
694,It's corny.
695,Don't be that way.
696,Tell me.
697,"No, you wouldn't like it, and I'd be embarrassed."
698,"You'd be embarr    You told 50 million people, and you can't tell me?"
699,I promise I won't laugh.
700,"That's what I'm afraid of, Vince."
701,That's not what I meant.
702,You know it.
703,Now I'm definitely not gonna tell you 'cause it's been built up too much.
704,What a gyp.
705,SIGHS Martin and Lewis.
706,Vanilla Coke.
707,Mmm.
708,Yummy.
709,You think I could have a sip of that?
710,Be my guest.
711,I gotta know what a fivedollar shake tastes like.
712,You can use my straw.
713,I don't have cooties.
714,"Yeah, but maybe I do."
715,Cooties I can handle.
716,All right.
717,"       ""RUMBLE"" BEGINS Goddamn, that's a pretty fuckin' good milk shake!"
718,Told ya.
719,"I don't know if it was worth five dollars, but it's pretty fuckin' good."
720,       CONTINUES Don't you hate that?
721,Hate what?
722,Uncomfortable silences.
723,Why do we feel it's necessary to yak about bullshit in order to be comfortable?
724,I don't know.
725,That's a good question.
726,That's when you know you found somebody really special.
727,When you can just shut the fuck up for a minute and comfortably share silence.
728,"Well, I don't think we're quite there yet, but don't feel bad."
729,We just met each other.
730,I'll tell you what.
731,I'm gonna go to the bathroom and powder my nose.
732,You sit here...
733,and think of something to say.
734,I'll do that.
735,Okay.
736,WOLF WHISTLE PEOPLE APPLAUDING SNIFFING I said goddamn!
737,Goddamn!
738,Goddamn.
739,WOMAN I need some hair spray.
740,"       ""SINCE I FIRST MET YOU"" Mmmm."
741,Don't you just love it when you come back from the bathroom to find your food waiting for you?
742,We're lucky we got anything at all.
743,I don't think Buddy Holly's much of a waiter.
744,Maybe we should've sat in Marilyn Monroe's section.
745,Which one?
746,There's two Monroes.
747,"No, there's not."
748,That is Marilyn Monroe.
749,That is Mamie Van Doren.
750,"I don't see Jayne Mansfield, so she must have the night off."
751,Pretty smart.
752,Yeah. I got my moments.
753,So did you think of somethin' to say?
754,"Actually, I did."
755,However...
756,"you seem like a really nice person, and I    I don't want to offend you."
757,Oooh.
758,"This doesn't sound like the usual, mindless, boring, gettin'toknowyou chitchat."
759,This sounds like you actually have somethin' to say.
760,"Well, well, I do. I do."
761,INHALES But you have to promise not to be offended.
762,"No, no no no."
763,You can't promise somethin' like that.
764,I have no idea what you're gonna ask me.
765,"You can ask me what you're gonna ask me, and my natural response could be to get offended."
766,"Then through no fault of my own, I would have broken my promise."
767,Let's just forget it.
768,That's an impossibility.
769,Trying to forget anything as intriguing as this would be an exercise in futility.
770,Is that a fact?
771,"And besides, isn't it more, uh, exciting when you don't have permission?"
772,"All right, all right."
773,"Well, here goes."
774,What did you think about what happened to Antwan?
775,Who's Antwan?
776,Tony Rocky Horror. You know him.
777,He fell out of a window.
778,Hmm. Hmm.
779,"Well, that is one way to say it."
780,Another way to say it would be that he was thrown out.
781,Another way would be he was thrown out by Marsellus.
782,"Yet, even another way is to say he was thrown out of a window by Marsellus because of you."
783,Is that a fact?
784,No.
785,"No, it's not a fact."
786,It's just what I heard.
787,That's just what I heard.
788,Who told you?
789,They.
790,"""They"" talk a lot, don't they?"
