,dialog
181,"You do that, I agree to give you your freedom, $25 per Brittle Brother."
182,That's $75.
183,"And as if on cue, here comes the sheriff."
184,"Ok, boys."
185,Fun's over.
186,Come on out.
187,"Alright folks, calm down."
188,Go about your business.
189,These jokers will be gone soon.
190,"Now, why you all wanna come into my town and start trouble?"
191,Scare all these nice people.
192,"You ain't got nothing better to do, than to come into Bill Sharp's town and show your ass?"
193,What'd you just do to our sheriff?
194,Now you can get the marshal.
195,Marshal!
196,Marshal!
197,Should we wait inside?
198,Can we just leave?
199,After you.
200,Move that buckboard a long ways across the street from the saloon.
201,"I want six men, six rifles behind it."
202,"I want two men, two rifles up on this roof."
203,"Two men, two rifles on that roof."
204,All the barrels aimed at that front door.
205,Somebody get poor Bill outta the goddamn street.
206,You in the saloon!
207,We got a hundred rifles aimed at every way out of that building.
208,You got one chance to get out of this alive.
209,"You and your nigger come out right now with your hands over your head, and I mean right now."
210,Is this the marshal I have the pleasure of addressing?
211,"Yes, it is."
212,This is U.S. Marshal Gill Tatum.
213,"Na wunderbar, marshal."
214,"I have relieved myself of all weapons, and just as you have instructed, I am ready to step outside with my hands, raised above my head."
215,"I trust as a representative of the criminal justice system of the United States of America, I shan't be shot down in the street by either you or your deputies before I've had my day in court."
216,You mean like you did our sheriff.
217,Shot him down like a dog in the street.
218,"Yes, that's exactly what I mean."
219,"Do I have your word as a lawman, not to shoot me down like a dog in the street?"
220,"Well, much as we'd all enjoy seeing something like that, ain't nobody gonna cheat the hangman in my town."
221,"Fair enough, marshal."
222,Here we come.
223,They're a little tense out there.
224,"So don't make any quick movements, and let me do the talking."
225,Come ahead.
226,You unarmed?
227,"Yes, indeed we are."
228,"Marshal Tatum, may I address you and your deputies, and apparently the entire town of Daughtrey, as to the incident that just occurred?"
229,Go on.
230,Thank you.
231,My name is Dr. King Schultz.
232,"Like yourself marshal, I'm a servant of the court."
233,"The man lying dead in the dirt, who the good people of Daughtrey saw fit to elect as their sheriff, who went by the name of Bill Sharp, is actually a wanted outlaw by the name of Willard Peck, with a price on his head of $200."
234,"Now that's $200, dead or alive."
235,The hell you say!
236,I'm aware this is probably disconcerting news.
237,"But I'm willing to wager, this man was elected sheriff sometime in the past two years?"
238,Yeah.
239,"I know this, because three years ago, he was rustling cattle from the B.C."
240,"Corrigan Cattle Company of Lubbock, Texas."
241,"Now this, is a warrant, made out by Circuit Court Judge, Henry Allen Laudermilk of Austin, Texas."
242,You're encouraged to wire him.
243,"He'll back up who I am, and who your dear departed sheriff was."
244,"In other words marshal, you owe me $200."
245,I'll be damned.
246,"After this Brittle business is behind us, you'll be a free man, with a horse, $75 in your back pocket..."
247,What's your plan after that?
248,"Find my wife, and buy her freedom."
249,"Django, I had no idea you were a married man."
250,Do most slaves believe in marriage?
251,Me and my wife do.
252,"Old Man Carrucan didn't, that's why were."
253,We run off.
254,Django.
255,"Django, Django."
256,"You got sand, Django."
257,Boy's got sand.
258,I got no use for a nigger with sand.
259,I want you to burn a runaway R right here on his cheek.
260,"And the girl, too."
261,"And I want you to take them to the Greenville auction, and sell them."
262,Both of them.
263,Separately.
264,And this one...
265,you will sell him cheap.
266,In Greenville...
267,there should be some sort of a records office.
268,You know when she was sold...
269,"you know where she came from, and you know her name."
270,What is her name?
271,Broomhilda.
272,What?
273,Broomhilda.
274,Broomhilda?
275,Were her owners German?
276,"Yeah, how you know?"
277,She wasn't born on the Carrucan plantation.
278,"She was raised by a German mistress, the Von Shafts."
279,"She speak a little German, too."
280,Your wife?
281,"When she was little, her mistress taught her so she'd have somebody to speak German with."
282,"Well, let me get this straight."
283,"Your slave wife speaks German, and her name is Broomhilda Von Shaft?"
284,Yep.
285,They call me Hilda.
286,"When we gain access to these plantations, we'll be putting on an act."
287,You'll be playing a character.
288,No?
289,"During the act, you can never break character."
290,Do you understand?
291,Yeah.
292,Don't break character.
293,And your character is that of The Valet.
294,What that is?
295,That's a fancy word for servant.
296,Valet?
297,"And now Django, you may choose your character's costume."
298,Youse gonna let me pick out my own clothes?
299,But of course.
300,It's against the law for niggers to ride horses in this territory.
301,This is my valet.
302,My valet does not walk.
303,I said niggers on horses...
304,His name is Django.
305,He's a free man.
306,He can ride what he pleases.
307,Not on my property.
308,"Not around my niggers, he can't."
309,"My good sir, perhaps we got off on the wrong boot."
310,Allow me to unring this bell.
311,My name is Dr. King Schultz.
312,"This is my valet, Django."
313,"And these are our horses, Tony and Fritz."
314,Mr. Bennett?
315,"I've been led to believe, that you are a gentleman, and a businessman."
316,And it is for these attributes we've ridden from Texas to Tennessee to parley with you now.
317,I wish to purchase one of your nigger gals.
318,"You and your Jimmie, rode from Texas to Tennessee to buy one of my nigger gals?"
319,"No appointment, no nothing?"
320,"Oh, I'm afraid so."
321,"Well, what if I was to say I don't like you?"
322,Or your fancypants nigger?
323,And I would not sell you a tinker's damn.
324,Now what you got to say about that?
325,Mr. Bennett.
326,"If you are the businessman I've been led to believe you to be, I have, that could change your mind."
327,"Well, come on inside and get yourself something cool to drink."
328,"Oh, maybe, while we discuss business, you could provide one of your loveliest black creatures to escort Django here around your magnificent grounds."
329,"Oh, well, absolutely."
330,Betina.
331,"Yessir, Big Daddy?"
332,What's your Jimmie's name again?
333,Django.
334,Django.
335,"Betina sugar, could you take Django there and take him around the grounds here and show him all the pretty stuff."
336,"As you please, Big Daddy."
337,"Oh, Mr. Bennett, I must remind you, Django is a free man."
338,He cannot be treated like a slave.
339,"He... within the bounds of good taste, he must be treated as an extension of myself."
340,"Understood, Schultz."
341,"Betina, sugar?"
342,Yes'm?
343,Django isn't a slave.
344,"Django is a free man, you understand?"
345,"You can't treat him like any of the other niggers around here, because he ain't like any of the other niggers around here."
346,You got it?
347,You want I should treat him like white folks?
348,No.
349,That's not what I said.
350,"Then I don't know what you want, Big Daddy."
351,"Yes, I can see that."
352,What's the name of that peckerwood boy from town that works with the glass?
353,His mama work over at the lumberyard.
354,"Oh, you mean Jerry."
355,That's the boy's name. Jerry!
356,"You know Jerry, don't you, sugar?"
357,"Yes'm, Big Daddy."
358,"Well, that's it, then."
359,You just treat him like you would Jerry.
360,That house we just left from is The Big House.
361,Big Daddy call it that because it's big.
362,That there is the pantry.
363,That's where Big Daddy hang all his dead meat.
364,Po' little squirrels.
365,What you do for your massa?
366,Didn't you hear him tell you I ain't no slave?
367,So you really free?
368,"Yes, I's free."
369,You mean you wanna dress like that?
370,"Betina, I need to ask you something."
371,What you want?
372,I'm looking for three white men.
373,Three brothers. Overseers.
374,Their name is Brittle.
375,You know them?
376,Brittle?
377,"Yes, Brittle."
378,"John Brittle, Ellis Brittle, Roger Brittle, sometime called Lil Raj."
379,I don't know them.
380,They could be using a different name.
381,They woulda come to the plantation this past year.
382,You mean the Shaffers?
383,Maybe.
384,Three brothers?
385,They here?
386,Could you point one of them out to me?
387,"Well, one's over in that field."
388,"Old Man Carrucan ain't gonna appreciate this, now."
389,"She work in the house, John."
390,"You could mess her skin up, and you gonna mess her up, and she ain't gonna be worth..."
391,She ain't gonna be worth a damn thing.
392,"Now, your Bible say..."
393,"Look, I told you that I was one that made her do it."
394,You ready?
395,She didn't wanna run off with me.
396,"If anybody should be getting whupped now, it should be me."
397,"It should be me, John."
398,"Now, I been here long enough, you know me, you know me a long time, now."
399,You know Massa Carrucan ain't gonna appreciate this.
400,She's a... she's a house slave.
401,"She a house slave, she can't be..."
402,On my knees.
403,"I'm asking you this, please."
404,Ain't this what you want?
405,I'm keeping it funny for you.
406,"Now, John, please."
407,"Is on my knees, John."
408,"I like the way you beg, boy."
409,Is that who you was looking for?
410,Yep.
411,Where the other two at?
412,"They by the stable, punishing Little Jody for breaking eggs."
413,They whipping Little Jody?
414,Point me in that direction.
415,You go to that tree and keep going that a way.
416,Go get that white man I came here with.
417,"Come on, now."
418,"No, no, please!"
419,"Come on, girlie."
420,Please!
421,Come on.
422,Get you set up now.
423,"And the Lord said, The fear of ye..."
424,and the dread of ye...
425,shall be on every beast of the earth.
426,"Come here now, woman!"
427,You'd better give me that arm!
428,No please!
429,No! No!
430,"Ok, she's ready!"
431,"And after this, we'll see if you break eggs again."
432,John Brittle!
433,You remember me?
434,"I like the way you die, boy."
435,Goddamn son of a bitch!
436,Keep it funny!
437,Y'all wanna see something?
438,No!
439,Who were they?
440,That's Big John.
441,That's Lil Raj.
442,Where's Ellis?
443,He's the one high tailing it across that field right now.
444,You sure that's him?
445,Yeah.
446,Positive?
447,I don't know.
448,You don't know if you're positive?
449,I don't know what positive mean.
450,It means you're sure.
451,Yes.
452,"Yes, what?"
453,"Yes, I'm sure that's Ellis Brittle."
454,I'm positive he dead.
455,Django!
456,Everybody calm down.
457,We mean no one else any harm.
458,Who are you two jokers?
459,"I am Dr. King Schultz, a legal representative of the criminal justice system of the United States of America."
460,"The man to my left, is Django Freeman."
461,He's my deputy.
462,"In my pocket is a warrant, signed by Circuit Court Judge Henry Allen Laudermilk of Austin, Texas, for the arrest and capture, dead or alive, of John Brittle, Roger Brittle and Ellis Brittle."
463,They were going by the name Shaffer.
464,"You know them by the name of Shaffer, but the butchers' real name, was Brittle."
465,These are wanted men.
466,The law wants them for murder.
467,"Now I reiterate, the warrant states dead or alive, so when Mr. Freeman and myself executed these men on sight, we were operating within our legal boundaries."
468,"I realize, passions are high, but I must warn you, the penalty for taking deadly force against an officer of the court in the performance of his duty is..."
469,you'll be hung by the neck until you're dead.
470,"Now, may I please remove the warrant from my pocket so you may examine it?"
471,Gve me.
472,Satisfied?
473,"May I have that back, please?"
474,Get off my land.
475,Posthaste.
476,Load up the bodies as quickly as you can and let's get outta here.
477,"Yeah, that's them sonsabitches."
478,"Come on, men!"
479,"We're coming for you, nigger!"
480,"Now, unless they start shooting first, nobody shoot them."
481,That's way too simple for these jokers.
482,We're gonna whup that niggerlover to death.
483,And I'm gonna personally strip and clip that garboon myself.
484,Damn.
485,I can't see fucking shit outta this thing.
486,We ready or what?
487,"Hold on, I'm fucking with my eyeholes."
488,Oh shit.
489,I just made it worse.
490,Who made this goddamn shit?
491,Willard's wife.
492,"Well, make your own goddamn masks!"
493,"Look, nobody's saying they don't appreciate what Jenny did."
494,"Well, if all I had to do was cut a hole in a bag, I coulda cut it better than this!"
495,"What about you, Robert?"
496,Can you see?
497,Not too good.
498,"I mean, if I don't move my head I can see you pretty good, more or less."
499,"But when I start riding, the bag's moving all over, and I'm riding blind."
500,Shit.
501,Yeah.
502,I just made mine worse.
503,"Oh, God."
504,Anybody bring any extra bags?
505,No!
506,Nobody brought an extra bag.
507,I'm just asking.
508,Do we have to wear them when we ride?
509,"Oh, well, shitfire!"
510,"If you don't wear them as you ride up, that just defeats the purpose!"
511,"Well, I can't see in this fucking thing!"
512,I can't breathe in this fucking thing and I can't ride in this fucking thing!
513,"Well, fuck all you all! I'm going home!"
514,"Now, I watched my wife work all day getting 30 bags together for you ungrateful sonsabitches, and all I can hear is criticize, criticize, criticize!"
515,"From now on, don't ask me or mine for nothing!"
516,"Now look, let's not forget why we're here."
517,We got a killer nigger over that hill there!
518,And we got to make a lesson out of him.
519,"Ok, I'm confused."
520,Are the bags on or off?
521,"I think, we all think, the bag was a nice idea."
522,Yeah.
523,"But, not pointing any fingers, they coulda been done better."
524,"So, how about..."
525,"no bags this time, but next time, we do the bags right, and then we go, full regalia."
526,I like that idea a lot.
527,"You get my vote, Robert."
528,Wait a minute!
529,I didn't say no bags.
530,But nobody can see.
531,So?
532,So it'd be nice to see.
533,Goddamn it!
534,This is a raid!
535,"I can't see, you can't see!"
536,So what?
537,All that matters is can the fucking horse see!
538,That's a raid!
539,Sons of bitches!
540,I can't see shit!
541,There he is!
542,Get that nigger out from under that wagon!
543,And get that nigger lover outta the wagon!
544,"That nigger ain't down here, Big Daddy!"
545,What?
546,They tricked us!
547,"Well, where are they?"
548,Auf Wiedersehen.
549,Bull'seye.
550,Look at them run.
551,"Yeah, cowards tend to do that."
552,Goddamn it!
553,Goddamn it!
554,Would you care to?
555,Can't see shit outta this!
556,He's getting away.
557,I got him.
558,Big Daddy's getting away.
559,I got him.
560,Got him.
561,The kid's a natural.
562,How you know Broomhilda's first masters was German?
563,Broomhilda is a German name.
564,"If they named her, it stands to reason they'd be German."
565,Lots of gals where you're from named Broomhilda?
566,"Broomhilda, is the name of a character in the most, popular of all the German legends."
567,There's a story about Broomhilda?
568,"Oh, yes, there is."
569,Do you know it?
570,"Oh, every German knows that story."
571,Would you like me to tell you?
572,"Well, Broomhilda, was a..."
573,princess.
574,"She was a daughter of Wotan, god of all gods."
575,"Anyway, her father is really mad at her."
576,What she do?
577,I can't exactly remember.
578,She disobeys him in some way.
579,So he puts her on top of the mountain.
580,Broomhilda's on a mountain?
581,"It's a German legend, there is always going to be a mountain in there somewhere."
582,And he puts a firebreathing dragon there to guard the mountain.
583,"And he surrounds her, in a circle of hellfire."
584,"And there, Broomhilda shall remain."
585,"Unless, a hero arises brave enough to save her."
586,Does a fella arise?
587,"Yes Django, as a matter of fact he does."
588,A fella named Siegfried.
589,Does Siegfried save her?
590,Quite spectacularly so.
591,"He scales the mountain, because he's not afraid of it."
592,"He slays the dragon, because he's not afraid of him."
593,And he walks through hellfire...
594,because Broomhilda's worth it.
595,I know how he feel.
596,I think I'm just starting to realize that.
597,"Now, look, Django..."
598,I don't doubt that one day you'll save your lady love...
599,but I can't let you go to Greenville in a good conscience.
600,A slave auction town in Mississippi isn't the place for you to visit.
601,"Free or not, it's just too dangerous."
602,But let me ask you a question.
603,How do you like the bounty hunting business?
604,Kill white folks and they pay you for it?
605,What's not to like?
606,"Now I have to admit, we make a good team."
607,I thought you was mad at me for killing Big John and Lil Raj.
608,"Yeah, on that occasion you were a tad overzealous, but normally, that's a good thing."
609,How'd you like to partner up for the winter?
610,What you mean partner up?
611,You work with me through the winter till the snow melts...
612,I give you a third of my bounties.
613,"So we make some money this winter, and when the snow melts, I'll take you to Greenville myself, and we'll find where they sent your wife."
614,Why you care what happen to me?
615,Why you care if I find my wife?
616,Frankly...
617,I've never given anybody their freedom before.
618,"And now that I have, I feel vaguely responsible for you."
619,"Plus when a German meets a real life Siegfried, that's kind of a big deal."
620,"As a German, I'm obliged to help you on your quest to rescue your beloved Broomhilda."
621,You got her.
622,What happened to Mr. I Wanna Shoot White Folks For Money?
623,His son's with him.
624,"Well, good."
625,He'll have a loved one with him.
626,Maybe even share a last word.
627,That's better than most of them get.
628,Damn sight better than he deserves.
629,Put down the rifle.
630,"Don't worry, I'm not mad at you."
631,Let's take out Smitty Bacall's handbill.
632,Read it aloud.
633,Consider that today's lesson.
634,Wanted. Dead or alive.
635,Smitty Bacall and the Smitty Bacall g...
636,Gang.
637,Gang.
638,For murder and stagecoach...
639,Robbery.
640,Sevenzerozerozero..
641,Seven thousand.
642,Thousand.
643,"Seven thousand Dollars, for Smitty Bacall."
644,One...
645,thousand and five hundred dollars for...
646,each of his...
647,gang...
648,Mem...
649,Members.
650,Known members of the Smitty Bacall Gang are as follas.
651,Follows.
652,Follows.
653,"Dandy Michaels, Gerald Nash and..."
654,Crazy Craig Koons.
655,That is...
656,who Smitty Bacall is.
657,"If Smitty Bacall wanted to start a farm at 22, they would never have printed that."
658,But Smitty Bacall wanted to rob stagecoaches and he didn't mind killing people to do it.
659,"Do you want to save your wife, by doing what I do?"
660,This is what I do.
661,"I kill people, and sell their corpses for cash."
662,"This corpse is worth $7,000."
663,Now quit your pussyfooting and shoot him.
664,Pa?
665,Pa!
666,Here.
667,You need to keep this Smitty Bacall handbill.
668,Why?
669,It's good luck.
670,You always keep the handbill of your first bounty.
671,That's accurate.
672,"Doctor, Django, how the hell are you?"
673,Who the hella you got there?
674,The WilsonLowe Gang.
675,Who the hell is the WilsonLowe Gang?
676,Bad Chuck Wilson and meaner Bobby Lowe and three of their acolytes.
677,"Well, just leave them out here, they ain't going nowhere."
678,Why don't you come in then out of the snowy snow and get yourselves some coffee.
679,We had a birthday yesterday.
680,Got some cake.
681,Pretty good.
682,Keep moving.
683,Get on up on that auction block.
684,Don't let that mud slow you down.
685,Keep going.
686,Keep going!
687,Broomhilda Von Shaft.
688,Age 27.
689,'R' on right cheek.
690,Calvin Candie.
691,He owns the fourth biggest cotton plantation in Mississippi.
692,Candyland.
693,Candyland?
694,"Oh, so you've heard of it."
695,Ain't no slave ain't heard of Candyland.
696,"Well apparently, that's where your wife is..."
697,and that's the repellant gentleman who owns her.
698,"Let's just hope she works in the house, not in the field."
699,"Oh, no, she ain't no field nigger."
700,She... She pretty.
701,"And she talk good, too."
702,But when they tore her back up and then they...
703,burned that runaway r on her cheek...
704,they goddamned her.
705,She ain't no field nigger but she ain't good enough for the house no more either.
706,They gonna try to make her a comfort girl.
707,What's a comfort?
708,Not while I got freedom.
709,Not while I got my gun.
710,So do we offer to buy her?
711,So...
712,say...
713,"a man, wants to buy a horse."
714,Needs to buy a horse.
715,"He walks up to the farmer's farm, and he knocks on the farmer's door and asks the farmer to buy his horse."
716,And do you know what the farmer says?
717,"The farmer says, no."
718,"Well, I say fuck that farmer, and I'm stealing that horse."
719,Fair enough.
720,"But now you're a horse thief, and they hang horse thieves."
721,"Not to mention the horse goes back to its original owner, because the horse is still his property."
722,"We need her, and..."
723,we need a bill of sale.
724,"Well, if we ain't gonna try to buy her, then how we gonna get her?"
725,May I offer an alternative plan of action?
726,Go ahead.
727,So...
728,"the man, walks up to the farmer's farm, he knocks on the farmer's door..."
729,"and asks, not to buy the horse, but the farm."
730,"And makes an offer so ridiculous, the farmer is forced to say yes."
731,We gonna offer to buy Candyland?
732,"No, it's far too big."
733,But apparently this farmer ain't all about the farm.
734,How much do you know about Mandingo fighting?
735,What?
736,Can you convincingly masquerade as someone who is an expert on Mandingo fighting?
737,Why?
738,"Because my character is that of a big money buyer from Dusseldorf, here in Greenville to buy my way into the Mandingo fight game."
739,And your character is a Mandingo expert I hired to help me do it.
740,They call that OneEyed Charley.
741,Bonjour.
742,"Good morning Bonsoir, Good evening, ma petite femme noire."
743,my little black woman.
744,We're here to see Mr. Calvin Candie.
745,Entraz.
746,Thank you.
747,You want me to play a black slaver?
748,Ain't nothing lower than a black slaver.
749,A black slaver is lower than the head house nigger...
750,"and buddy, that's pretty fucking low."
751,Then play him that way.
752,Give me your...
753,black slaver.
754,    Along came the 219. Toot! Toot!         Peanut butter!     Dr. Schultz!
755,Good to see you again!
756,Mr. Moguy.
757,Thank you for your assistance in creating the opportunity for this appointment.
758,"Nonsense, it's my job."
759,So this is the OneEyed Charley I've heard so much about.
760,"Yes, this is Django Freeman."
761,"Django, this is Mr. Candie's lawyer, Leonide Moguy."
762,Just call me Leo.
763,Calvin's in the Julius Caesar room.
764,You all wanna follow me?
765,How long have you been associated with Mr. Candie?
766,Calvin's father and I were about...
767,to boarding school together.
768,Calvin's father's father put me through law school.
769,One could almost say I was raised to be Calvin's lawyer.
770,One could almost say youse a nigger.
771,What did you say?
772,I said...
773,"Nothing, he's just being cheeky."
774,Anything else about Mr. Candie that I should know before I meet him?
775,"Yes, he is a bit of a Francophile."
776,What civilized people aren't?
777,And he prefers Monsieur Candie to Mr. Candie.
778,Si c'est cela qu'il prefere.
779,Whatever he prefers.
780,He doesn't speak French.
781,"Don't speak French to him, it'll embarrass him."
782,"Get back on top, now!"
783,Turn around!
784,There you go.
785,There you go.
786,Why do you want to get in the Mandingo business?
787,You don't intend to allow your second to make the proper introductions?
788,"Quit stalling, now."
789,Answer the question.
790,The awful truth?
791,I'm bored.
792,This seems like a good bit of fun.
793,"Well, come on over."
794,We got us a fight going on that's a good bit of fun.
795,Won't you accompany me to the bar?
796,"You don't wear a hat in the house, white man."
797,Even I know that.
798,Dr. Schultz.
799,What a rare pleasure.
800,"Keep fighting, niggers."
801,"And I might add, an honor."
802,Honor to meet you.
803,"Please have a seat, the pleasure's all mine."
804,Get free man Django here whatever he wants.
805,And I'll have sweet tea and bourbon.
806,"Use your weight boy, use your weight!"
807,There you go.
808,He's much bigger and stronger!
809,"Come on, now!"
810,"He's not doing what I told him, for God's sakes."
811,"Bravo Luigi, cos   e dai."
812,"Good Luigi, go on."
813,Devi essere pi   rapido.
814,Be more faster.
815,"Come on, now, boy!"
816,It's a fight to the death!
817,You either hit him or are you ain't?
818,Ecco I con la spola tappeto.
819,Make the carpet shuttle.
820,La spola tappeto gi  !
821,The carpet down!
822,"Big Fred, come on!"
823,Turn him around!
824,Now...
825,"Use your strength, boy!"
826,"Come on, now! Use your strength!"
827,There you go!
828,There you go!
829,Look at that.
830,"See, I told you to put some more power in there."
831,"Do what I told you, boy!"
832,There you go!
833,No!
834,Do what I told ya!
835,"Blind him black, boy!"
836,Blind him black!
837,"Oh, no, Luigi."
838,Finish him.
839,"Go on, boy, finish him!"
840,That's why they call him Big Fred.
841,Worth every penny.
842,"Well, arrivederci, Luigi."
843,"Come on up, now, boy."
844,Get yourself a rest.
845,You did a fine job.
846,A real fine job.
847,Mercedes.
848,Tequila.
849,What's your name?
850,Django.
851,Can you spell it?
852,DJAN G O The D is silent.
853,I know.
854,"Umberto, andiamo."
855,"Umberto, let's go."
856,"Mr. Moguy, want you to take care of my new boy here."
857,"You find him a room with a soft bed, then you bring him up a pony to lick his pole."
858,"But you be ready to travel to Candyland tomorrow morning, now, ya hear?"
859,"Yessir, Monsieur Candie."
860,"Before you go Roscoe, get Fred here a tall beer."
861,"You enjoy that, boy."
862,You've earned it.
863,Yes sir.
864,"What's your name, boy?"
865,His name is Django Freeman.
866,Where'd you dig him up?
867,A fortuitous turn of events brought Django and myself together.
868,I've heard tell about you.
869,I heard you been telling everybody them Mandingos ain't no damn good.
870,Ain't nothing nobody is selling is worth buying. I'm curious...
871,what makes you such a Mandingo expert?
872,I'm curious what makes you so curious.
873,"What did you say, boy?"
874,"Calm down, Butch."
875,No offense given...
876,none taken.
877,Monsieur Candie...
878,I'd appreciate if you could direct your line of inquiry toward me.
879,One...
880,you do not have anything to drink.
881,Can I get you a tasty refreshment?
882,Yes!
883,I'll have a beer. Wunderbar.
884,"Roscoe, a beer for the man with the beard, and I will have a Polynesian Pearl Diver."
885,Do not spare the rum.
886,Doc.
887,I am a seasoned slaver.
888,"You are well, you are a neophyte."
