number_of_dialog,start_time,end_time,dialog
27,"00:01:56,960","00:01:59,921",-You want to rob banks? -I'm not saying I wanna rob banks.
28,"00:02:00,005","00:02:02,423","I'm illustrating if we did, it'd be easier than what we've been doing."
29,"00:02:02,507","00:02:06,636","-No more liquor stores? -What've we been talkin' about? Yeah, no more liquor stores."
30,"00:02:06,762","00:02:09,722","Besides, it ain't the giggle it used to be. There's too many foreigners own liquor stores."
31,"00:02:09,806","00:02:11,724","Vietnamese, Koreans, don't even speak fuckin' English."
32,"00:02:11,808","00:02:14,143","You tell 'em empty out the register, they don't know what you're talkin' about."
33,"00:02:14,227","00:02:16,103",They make it too personal.
34,"00:02:16,229","00:02:20,441","-We keep on, one of these gook fuckers gonna make us kill him. -I'm not gonna kill anybody."
35,"00:02:20,525","00:02:24,820",I don't want to either. But they'll probably put us in a situation where it's us or them.
36,"00:02:24,905","00:02:26,822","And if it's not the gooks,"
37,"00:02:26,907","00:02:29,533",it's these old fuckin' Jews who've owned the store for 15 fucking generations.
38,"00:02:29,618","00:02:34,038",You got Grandpa Irving sitting behind the counter with a fucking Magnum in his hand.
39,"00:02:34,122","00:02:36,040",Try walkin' into one of those places with nothing but a phone.
40,"00:02:36,124","00:02:38,000",See how far that gets you. Forget it.
41,"00:02:38,126","00:02:41,003","-We're out of it. -Well, what then, day jobs?"
42,"00:02:41,129","00:02:43,172",-Not in this life. -What then?
43,"00:02:45,342","00:02:47,510","GarÃ§on, coffee!"
44,"00:02:47,594","00:02:49,887",This place.
45,"00:02:51,348","00:02:54,475","""GarÃ§on"" means boy."
46,"00:02:57,688","00:03:00,356",This place? A coffee shop?
47,"00:03:00,440","00:03:03,401",What's wrong with that?
48,"00:03:03,485","00:03:07,154",Nobody ever robs restaurants. Why not?
49,"00:03:08,115","00:03:10,533","Bars, liquor stores,"
50,"00:03:10,617","00:03:14,328",gas stations; you get your head blown off stickin' up one of them.
51,"00:03:14,413","00:03:18,082","Restaurants, on the other hand, you catch with their pants down."
52,"00:03:18,166","00:03:21,794",They're not expectin' to get robbed. Not as expectin' anyway.
53,"00:03:21,920","00:03:26,424",-I bet you could cut down on the hero factor in a place like this. <i>-Correct.<i/>
54,"00:03:26,508","00:03:29,760","Same as banks, these places are insured."
55,"00:03:29,845","00:03:32,179",Manager. He don't give a fuck.
56,"00:03:32,264","00:03:35,099",They're just trying to get you out before you start pluggin' the diners.
57,"00:03:35,183","00:03:39,145",Waitresses. Fuckin' forget it. No way they're takin' a bullet for the register.
58,"00:03:39,229","00:03:42,148",Busboys. Some wetback gettin' paid $1.50 an hour...
59,"00:03:42,232","00:03:44,734",really give a fuck you're stealin' from the owner?
60,"00:03:44,818","00:03:47,862","Customers sittin' there with food in their mouths, they don't know what's goin' on."
61,"00:03:47,988","00:03:52,658","One minute, they're havin' a Denver omelet, the next, someone is stickin' a gun in their face."
62,"00:03:52,743","00:03:57,788","See, I got the idea the last liquor store we stuck up, remember?"
63,"00:03:57,873","00:04:00,541",-All the customers kept comin' in. -Yeah.
64,"00:04:00,625","00:04:04,462","You got the idea of takin' their wallets. Now, that was a good idea."
65,"00:04:04,546","00:04:07,882",-Thank you. -Made more from the wallets than we did from the register.
66,"00:04:08,008","00:04:10,301","<i>-Yes, we did.</i> -A lot of people come to restaurants."
67,"00:04:10,385","00:04:14,013","-A lot of wallets. -Pretty smart, huh?"
68,"00:04:14,097","00:04:16,140",Pretty smart.
69,"00:04:17,684","00:04:20,644","I'm ready. Let's do it. Right now, right here."
70,"00:04:20,771","00:04:25,274","<i>-Come on.</i> -All right. Same as last time, remember?"
71,"00:04:25,358","00:04:28,110",You're crowd control. I'll handle the employees.
72,"00:04:33,784","00:04:36,535","-I love you, pumpkin. -I love you, honey bunny."
73,"00:04:37,746","00:04:40,206",Everybody be cool! This is a robbery!
74,"00:04:40,290","00:04:43,167","Any of you fucking pricks move,"
75,"00:04:43,251","00:04:47,046",and I'll execute every motherfuckin' last one of you.
76,"00:04:47,547","00:04:51,008","â™ªâ™ª [""MISIRLOU""]"
77,"00:06:25,729","00:06:28,397",[RADIO DIAL TUNING]
78,"00:06:28,690","00:06:32,610","â™ªâ™ª [""JUNGLE BOOGIE""]"
79,"00:06:38,658","00:06:40,826",â™ª Jungle boogie â™ª â™ª Get down with the boogie â™ª
80,"00:06:40,952","00:06:43,078",â™ª Jungle boogie â™ª â™ª Get it on â™ª
81,"00:06:43,205","00:06:45,331",â™ª Jungle boogie â™ª â™ª Get down with the boogie â™ª
82,"00:06:45,457","00:06:47,625",â™ª Jungle boogie â™ª â™ª Get it on â™ª
83,"00:06:47,751","00:06:49,960",â™ª Jungle boogie â™ª â™ª Get up with the boogie â™ª
84,"00:06:50,086","00:06:52,129",â™ª Jungle boogie â™ª â™ª Get up with the get down â™ª
85,"00:06:52,255","00:06:54,465",â™ª Jungle boogie â™ª â™ª Get down and boogie â™ª
86,"00:06:54,591","00:06:57,760",â™ª Jungle boogie â™ª â™ª Shake it around â™ªâ™ª
87,"00:07:04,559","00:07:08,604","-Okay, so tell me again about the hash bars. -Okay, what you want to know?"
88,"00:07:08,730","00:07:11,523","-Hash is legal there, right? -Yeah, it's legal, but it ain't 100% legal."
89,"00:07:11,608","00:07:16,237","You just can't walk into a restaurant, roll a joint and start puffin' away."
90,"00:07:16,321","00:07:19,615","I mean, they want you to smoke in your home or certain designated places."
91,"00:07:19,741","00:07:22,368",-Those are hash bars? -Yeah. It breaks down like this.
92,"00:07:22,452","00:07:24,787",It's legal to buy it. It's legal to own it.
93,"00:07:24,871","00:07:28,040","And if you're the proprietor of a hash bar, it's legal to sell it."
94,"00:07:28,124","00:07:32,544","It's illegal to carry it, but-but that doesn't matter, 'cause get a load of this."
95,"00:07:32,629","00:07:37,007","If you get stopped by a cop in Amsterdam, it's illegal for them to search you."
96,"00:07:37,133","00:07:41,053","-I mean, that's a right the cops in Amsterdam don't have. -Oh, man! I'm goin'."
97,"00:07:41,137","00:07:43,681",That's all there is to it. I'm fuckin' goin'.
98,"00:07:43,765","00:07:46,642","I know, baby. You'd dig it the most."
99,"00:07:46,768","00:07:49,478",-But you know what the funniest thing about Europe is? -What?
100,"00:07:49,562","00:07:53,482","It's the little differences. I mean, they got the same shit over there that they got here,"
101,"00:07:53,566","00:07:57,111","-but it's just there, it's a little different. -Example..."
102,"00:07:57,195","00:08:00,322",You can walk into a movie theater in Amsterdam and buy a beer.
103,"00:08:00,407","00:08:04,034",And I don't mean just like no paper cup. I'm talkin' about a glass of beer.
104,"00:08:04,119","00:08:07,913","And in Paris, you can buy a beer in McDonald's. <i>You know what they call...</i>"
105,"00:08:07,998","00:08:11,500",a Quarter Pounder with Cheese in Paris?
106,"00:08:11,584","00:08:13,752",They don't call it a Quarter Pounder with Cheese?
107,"00:08:13,837","00:08:16,630",They got the metric system. They wouldn't know what the fuck a quarter-pounder is.
108,"00:08:16,715","00:08:20,551",-What do they call it? -They call it a Royale with Cheese.
109,"00:08:20,677","00:08:22,136",-Royale with Cheese. <i>-That's right.</i>
110,"00:08:22,220","00:08:24,138",What do they call a Big Mac?
111,"00:08:24,222","00:08:27,516","Big Mac's a Big Mac, but they call it Le Big Mac."
112,"00:08:27,600","00:08:30,686","[IMITATING FRENCH ACCENT] ""Le Big Mac"" [LAUGHS]"
113,"00:08:30,812","00:08:34,898",-What do they call a Whopper? -I don't know. I didn't go into Burger King.
114,"00:08:35,025","00:08:38,402",-You know what they put on french fries in Holland instead of ketchup? -What?
115,"00:08:38,528","00:08:41,488",-Mayonnaise. [CHUCKLES] -Goddamn!
116,"00:08:41,614","00:08:45,909","-I seen 'em do it, man. They fuckin' drown 'em in that shit. -Yuck."
117,"00:08:48,580","00:08:51,874",We should have shotguns for this kind of deal.
118,"00:08:54,878","00:08:57,588",-How many up there? -Three or four.
119,"00:08:57,714","00:09:01,258",-That's countin' our guy? -Not sure.
120,"00:09:01,384","00:09:04,762",-So that means that it could be up to five guys up there? -It's possible.
121,"00:09:04,846","00:09:07,181",We should have fuckin' shotguns.
122,"00:09:07,307","00:09:09,892",<i>-[VINCENT]: What's her name? -[JULES] Mia.</i>
123,"00:09:10,018","00:09:14,188",-Mia. How did Marsellus and her meet? -I don't know.
124,"00:09:14,272","00:09:17,858",However people meet people. She used to be a actress.
125,"00:09:17,942","00:09:20,402","Oh, really? She do anything I'd have seen?"
126,"00:09:20,528","00:09:24,907",-I think her biggest deal was she starred in a pilot. -Pilot? What's a pilot?
127,"00:09:25,033","00:09:28,535","-Well, you know the shows on TV? -I don't watch TV."
128,"00:09:28,650","00:09:32,206","Yeah, but you are aware that there is an invention called television,"
129,"00:09:32,332","00:09:35,417","-and on this invention they show shows, right? -Yeah."
130,"00:09:35,502","00:09:39,880",The way they pick TV shows is they make one show. That show's called a pilot.
131,"00:09:39,964","00:09:42,883",Then they show that one show to the people who pick shows...
132,"00:09:42,900","00:09:45,886","and on the strength of that one show, they decide if they wanna make more shows."
133,"00:09:45,970","00:09:50,516","Some get chosen and become television programs. Some don't, become nothin'."
134,"00:09:50,650","00:09:53,769",She starred in one of the ones that became nothing.
135,"00:09:53,853","00:09:56,605",You remember Antwan Rockamora?
136,"00:09:56,689","00:10:00,484","Half-black, half-Samoan. Used to call him ""Tony Rocky Horror."""
137,"00:10:00,610","00:10:03,987","-Yeah, maybe. Fat, right? -I wouldn't go so far as to call the brother fat."
138,"00:10:04,072","00:10:06,824","He got a weight problem. I mean, what's a nigger gonna do? He's Samoan."
139,"00:10:06,950","00:10:11,370",-I think I know who you mean. What about him? -Marsellus fucked him up good.
140,"00:10:11,454","00:10:15,707",Word 'round the campfire is it was on account of Marsellus Wallace's wife.
141,"00:10:15,792","00:10:18,752",[ELEVATOR BELL RINGS]
142,"00:10:23,842","00:10:27,845","-So what he'd do? Fuck her? -No, no, no, no, no. Nothin' that bad."
143,"00:10:27,971","00:10:31,640","-Well, then what then? -He gave her a foot massage."
144,"00:10:33,893","00:10:36,103",A foot massage?
145,"00:10:36,229","00:10:38,272",-That's it? -Mm-hmm.
146,"00:10:38,356","00:10:40,274",Then what'd Marsellus do?
147,"00:10:40,358","00:10:43,527",Sent a couple cats over to his place. They took him out on his patio.
148,"00:10:43,611","00:10:47,531",Threw his ass over the balcony. Nigger fell four stories.
149,"00:10:47,615","00:10:51,660","He had a little garden down at the bottom enclosed in glass, like a greenhouse."
150,"00:10:51,744","00:10:53,996",Nigger fell through that.
151,"00:10:54,080","00:10:56,999","Since then, he kind of developed a speech impediment."
152,"00:10:58,501","00:11:01,211",-That's a damn shame. -Hmm.
153,"00:11:05,925","00:11:09,720","-But still, you play with matches, you get burned. -What do you mean?"
154,"00:11:09,804","00:11:13,932",You don't be givin' Marsellus Wallace's new bride a foot massage.
155,"00:11:14,017","00:11:16,477",You don't think he overreacted?
156,"00:11:16,561","00:11:21,440","Antwan didn't expect Marsellus to react the way he did, but he had to expect a reaction."
157,"00:11:21,524","00:11:25,652",It was a foot massage. A foot massage is nothin'. I give my mother a foot massage.
158,"00:11:25,737","00:11:29,281",It's laying your hands in a familiar way on Marsellus's new wife.
159,"00:11:29,365","00:11:34,244","I mean, is it as bad as eatin' her pussy out? No, but it's the same fuckin' ballpark."
160,"00:11:34,329","00:11:36,413","Whoa whoa whoa whoa, stop right there. Eatin' the bitch out..."
161,"00:11:36,498","00:11:39,041",and givin' the bitch a foot massage ain't even the same fucking thing.
162,"00:11:39,167","00:11:43,086",-It's not. It's the same ballpark. -Ain't no fuckin' ballpark neither.
163,"00:11:43,171","00:11:46,089","Now, look, maybe your method of massage differs from mine."
164,"00:11:46,174","00:11:49,927",But touchin' his wife's feet and sticking your tongue in the holiest of holies...
165,"00:11:50,011","00:11:54,223",ain't the same fuckin' ballpark; it ain't the same league; it ain't the same fuckin' sport.
166,"00:11:54,349","00:11:58,185",-Foot massages don't mean shit! -Have you ever given a foot massage?
167,"00:11:58,269","00:12:01,313",[SCOFFS] Don't be tellin' me about foot massages.
168,"00:12:01,439","00:12:04,107",-I'm the foot fuckin' master. -You given a lot of them?
169,"00:12:04,192","00:12:08,403","Shit, yeah! Got my technique down and everything. I don't be ticklin' or nothin'."
170,"00:12:08,488","00:12:11,156",Would you give a guy a foot massage?
171,"00:12:12,575","00:12:15,202",-Fuck you. -[CHUCKLES]
172,"00:12:15,328","00:12:18,372",-You give 'em a lot? -Fuck you.
173,"00:12:18,498","00:12:21,750","-You know, I'm kind of tired. I could use a foot massage. -Yo, yo, yo, man."
174,"00:12:21,834","00:12:25,045",You best back off. I'm gettin' a little pissed here.
175,"00:12:26,089","00:12:28,674","-This is the door. -Yeah, it is."
176,"00:12:31,427","00:12:34,054",What time you got?
177,"00:12:34,138","00:12:36,265",7:22 in the a.m.
178,"00:12:36,349","00:12:39,935","No, it ain't quite time yet. Come on. Let's hang back."
179,"00:12:47,485","00:12:51,238","Now, look, just 'cause I wouldn't give no man a foot massage don't make it right..."
180,"00:12:51,322","00:12:54,533","for Marsellus to throw Antwan off a building into a glass motherfuckin' house,"
181,"00:12:54,617","00:12:57,327",fuckin' up the way the nigger talks; that shit ain't right.
182,"00:12:57,412","00:13:01,623","Motherfucker do that shit to me, he better paralyze my ass, 'cause I kill the motherfucker."
183,"00:13:01,708","00:13:06,670","I ain't sayin' it's right, but you sayin' a foot massage don't mean nothin'. I'm sayin' it does."
184,"00:13:06,754","00:13:11,383","Now, look, I've given a million ladies a million foot massages, and they all meant somethin'."
185,"00:13:11,467","00:13:15,178","We act like they don't, but they do. That's what's so fuckin' cool about them."
186,"00:13:15,263","00:13:17,347",There's a sensuous thing goin' on...
187,"00:13:17,432","00:13:20,642","where you don't talk about it, but you know it and she knows it."
188,"00:13:20,727","00:13:25,772",Fuckin' Marsellus knew it. And Antwan should've fuckin' better known better.
189,"00:13:25,857","00:13:30,235","That's his fuckin' wife, man. This ain't a man with a sense of humor about this shit."
190,"00:13:30,320","00:13:33,113",You know what I'm sayin'?
191,"00:13:33,197","00:13:35,115",It's an interestin' point.
192,"00:13:35,199","00:13:37,159",Come on. Let's get into character.
193,"00:13:44,083","00:13:46,043",-What's her name again? -Mia.
194,"00:13:46,169","00:13:49,171",-Mia. -Why you so interested in big man's wife?
195,"00:13:49,255","00:13:54,426","Well he's goin' out of town, Florida. And he asked me if I'd take care of her while he's gone."
196,"00:13:54,552","00:13:58,513","-Take care of her? -No, man. Just take her out."
197,"00:13:58,598","00:14:01,933",Show her a good time. Make sure she don't get lonely.
198,"00:14:02,018","00:14:04,561",You're gonna be takin' Mia Wallace out on a date?
199,"00:14:04,646","00:14:07,272",It is not a date.
200,"00:14:07,357","00:14:11,401",It's just like if you were gonna take your buddy's wife to a movie or somethin'.
201,"00:14:11,527","00:14:15,030","-It's just good company, that's all. -[SIGHS]"
202,"00:14:19,035","00:14:23,538",-It's not a date. -[JULES SCOFFS] -It's definitely not a date. -[JULES SIGHS]
203,"00:14:30,213","00:14:34,049","Hey, kids. <i>How you boys doin'?</i>"
204,"00:14:34,133","00:14:36,802","Hey, keep chillin'."
205,"00:14:42,975","00:14:45,769",You know who we are?
206,"00:14:45,853","00:14:49,815","We're associates of your business partner, Marsellus Wallace."
207,"00:14:49,899","00:14:52,901","You do remember your business partner, don't you?"
208,"00:14:55,613","00:14:58,573","Now, let me take a wild guess here."
209,"00:15:00,576","00:15:03,620","-You're Brett, right? -Yeah."
210,"00:15:03,705","00:15:07,958","I thought so. You remember your business partner Marsellus Wallace,"
211,"00:15:08,084","00:15:11,670","-don't ya, Brett? -Yeah, I remember."
212,"00:15:11,754","00:15:16,049",Good. Looks like me and Vincent caught you boys at breakfast.
213,"00:15:16,134","00:15:18,760",Sorry about that. Whatcha havin'?
214,"00:15:18,845","00:15:20,804",Hamburgers.
215,"00:15:20,888","00:15:24,975",Hamburgers! The cornerstone of any nutritious breakfast.
216,"00:15:26,352","00:15:28,603",What kind of hamburgers?
217,"00:15:28,730","00:15:30,439","-Uh, ch-cheeseburgers. -No, no, no, no, no."
218,"00:15:30,523","00:15:33,567","Where'd you get 'em? McDonald's, Wendy's, Jack in the Box?"
219,"00:15:33,693","00:15:36,486","<i>-Where?</i> -Uh, Big Kahuna Burger."
220,"00:15:36,571","00:15:39,698",Big Kahuna Burger! That's that Hawaiian burger joint.
221,"00:15:39,782","00:15:43,702",I hear they got some tasty burgers. I ain't never had one myself. How are they?
222,"00:15:43,786","00:15:46,455",They'reâ€” They're good.
223,"00:15:46,539","00:15:49,166",You mind if I try one of yours?
224,"00:15:49,250","00:15:51,668","-This is yours here, right? -Yeah."
225,"00:15:59,927","00:16:01,762",Mmm hmmm.
226,"00:16:01,846","00:16:04,973",This is a tasty burger! Vincent!
227,"00:16:05,057","00:16:07,601",You ever had a Big Kahuna burger?
228,"00:16:08,603","00:16:11,062",Want a bite? They're real tasty.
229,"00:16:11,189","00:16:14,608","-I ain't hungry. <i>-Well, if you like burgers, give 'em a try sometime.</i>"
230,"00:16:14,692","00:16:18,528","Me, I can't usually get 'em 'cause my girlfriend's a vegetarian,"
231,"00:16:18,613","00:16:21,740",which pretty much makes me a vegetarian.
232,"00:16:21,824","00:16:24,951",But I do love the taste of a good burger. Mmmm.
233,"00:16:25,036","00:16:29,539",You know what they call a Quarter Pounder with Cheese in France?
234,"00:16:29,665","00:16:31,666","-No. -Tell 'em, Vincent."
235,"00:16:31,793","00:16:35,796",-[VINCENT] A Royale with Cheese. <i>-[JULES] A Royale with Cheese.</i>
236,"00:16:35,880","00:16:39,341",You know why they call it that?
237,"00:16:39,425","00:16:42,511","Uh, because of the metric system?"
238,"00:16:43,554","00:16:46,848",Check out the big brain on Brett!
239,"00:16:46,933","00:16:50,310",You're a smart motherfucker. That's right. The metric system.
240,"00:16:52,605","00:16:54,731",<i>-What's in this?</i> -Sprite.
241,"00:16:54,816","00:16:56,733",<i>Sprite. Good.</i>
242,"00:16:56,818","00:17:00,654",You mind if I have some of your tasty beverage to wash this down with?
243,"00:17:00,738","00:17:03,657",Go right ahead.
244,"00:17:10,331","00:17:13,208","[SLURPING, SIGHS]"
245,"00:17:15,044","00:17:17,879",<i>That hit the spot.</i>
246,"00:17:17,964","00:17:21,967",You. Flock of Seagulls. You know why we're here?
247,"00:17:22,093","00:17:25,637",-Why don't you tell my man Vince here where you got the shit hid at. -It's overâ€”
248,"00:17:25,721","00:17:29,349",I don't remember askin' you a goddamned thing!
249,"00:17:32,019","00:17:34,813",You were sayin'?
250,"00:17:34,897","00:17:36,940",It's in the cupboard.
251,"00:17:39,735","00:17:42,696","<i>N-No, the one by your kn-knees.</i>"
252,"00:17:44,490","00:17:47,742",<i>[PANS RATTLING]</i>
253,"00:17:49,829","00:17:52,914",[RATTLING CONTINUES]
254,"00:18:03,593","00:18:05,844",<i>[JULES] We happy?</i>
255,"00:18:05,928","00:18:08,805",<i>Vincent?!</i>
256,"00:18:08,890","00:18:11,558","-We happy? -Yeah, we happy."
257,"00:18:11,642","00:18:13,560",[SIGHS]
258,"00:18:13,644","00:18:17,939","<i>[BRETT] Look, I'm sorry, uh, Iâ€” I didn't get your name.</i>"
259,"00:18:18,024","00:18:21,151",I got yours. Vincent. Right? B-But I never got yours.
260,"00:18:21,277","00:18:26,615","-My name's Pitt, and your ass ain't talkin' your way outta this shit. -No, no, no."
261,"00:18:28,117","00:18:31,036",I just want you to know howâ€”
262,"00:18:33,664","00:18:37,167",I just want you to know how sorry we are th-that things got so fucked up...
263,"00:18:37,251","00:18:39,419",with us and Mr. Wallace.
264,"00:18:39,503","00:18:44,007",W-We got into this thing with the best intentions. Really. I neverâ€”
265,"00:18:44,091","00:18:47,427","Oh, I'm sorry, did I break your concentration?"
266,"00:18:47,553","00:18:50,138",-[GASPING] <i>-I didn't mean to do that. Please.</i>
267,"00:18:50,222","00:18:55,435","Continue. You were saying something about ""best intentions."""
268,"00:18:56,812","00:19:00,690","<i>What's the matter? Oh, you were finished!</i>"
269,"00:19:00,775","00:19:03,485","Oh, well, allow me to retort."
270,"00:19:07,031","00:19:10,033",What does Marsellus Wallace look like?
271,"00:19:10,117","00:19:12,285",What?
272,"00:19:12,370","00:19:15,580",-What country you from? -Wha- What?
273,"00:19:15,706","00:19:19,918","-""What"" ain't no country I ever heard of. They speak English in What? -W-What?"
274,"00:19:20,044","00:19:22,712","-English, Motherfucker! Do you speak it? -Yes!"
275,"00:19:22,838","00:19:24,506",-Then you know what I'm sayin'! -Yes.
276,"00:19:24,590","00:19:28,009",Describe what Marsellus Wallace looks like!
277,"00:19:28,094","00:19:30,720","-What? Iâ€” -Say ""what"" again!"
278,"00:19:30,805","00:19:34,683","Say ""what"" again! I dare ya! I double dare you, motherfucker!"
279,"00:19:34,809","00:19:38,687","-Say ""what"" one more goddamn time! -H-H-He's black."
280,"00:19:38,771","00:19:41,106",-Go on! -He's bald!
281,"00:19:41,190","00:19:43,858",-Does he look like a bitch? -What?
282,"00:19:43,985","00:19:45,568",-[GUNSHOT] -[SCREAMING]
283,"00:19:45,653","00:19:49,614",Does he look... like a bitch?
284,"00:19:49,740","00:19:52,909","-No! -Then why you tryin' to fuck him like a bitch, Brett?"
285,"00:19:53,035","00:19:56,621","-I didn't. -Yes, you did. Yes, you did, Brett!"
286,"00:19:56,747","00:19:58,915","<i>-You tried to fuck him.</i> -[GASPING] No, no."
287,"00:19:59,000","00:20:04,254",But Marsellus Wallace don't like to be fucked by anybody except Mrs. Wallace.
288,"00:20:04,338","00:20:07,382","-You read the Bible, Brett? -Yes!"
289,"00:20:07,466","00:20:12,012","Well, there's this passage I got memorized. Sort of fits this occasion."
290,"00:20:12,096","00:20:14,431",Ezekiel 25:17.
291,"00:20:14,515","00:20:17,809","""The path of the righteous man..."
292,"00:20:17,893","00:20:21,813","""is beset on all sides by the inequities of the selfish..."
293,"00:20:21,897","00:20:24,816","""and the tyranny of evil men."
294,"00:20:24,900","00:20:29,821","<i>""Blessed is he who, in the name of charity and goodwill,</i>"
295,"00:20:29,905","00:20:33,033","""shepherds the weak through the valley of darkness,"
296,"00:20:33,117","00:20:35,785","""for he is truly his brother's keeper..."
297,"00:20:35,870","00:20:39,414","""and the finder of lost children."
298,"00:20:39,498","00:20:43,293","""And I will strike down upon thee with great vengeance..."
299,"00:20:43,377","00:20:45,336","""and furious anger..."
300,"00:20:45,421","00:20:50,050","""those who attempt to poison and destroy my brothers!"
301,"00:20:50,134","00:20:53,970","""And you will know my name is the Lord..."
302,"00:20:54,055","00:20:57,432","when I lay my vengeance upon thee!"""
303,"00:20:57,516","00:20:59,059",-[SCREAMS] -[GUNSHOTS]
304,"00:21:06,358","00:21:11,780","â™ªâ™ª [""LET'S STAY TOGETHER""]"
305,"00:21:15,659","00:21:18,328",<i>[MARSELLUS] I think you gonna find...</i>
306,"00:21:18,412","00:21:21,081",<i>when all this shit is over and doneâ€”</i>
307,"00:21:22,750","00:21:27,128",<i>I think you're gonna find yourself one smilin' motherfucker.</i>
308,"00:21:28,672","00:21:31,466","<i>The thing is, Butch,</i>"
309,"00:21:31,550","00:21:34,594",<i>right now... you got ability.</i>
310,"00:21:36,263","00:21:38,681","<i>But painful as it may be,</i>"
311,"00:21:38,766","00:21:41,935",<i>ability... don't last.</i>
312,"00:21:43,896","00:21:47,982",<i>And your days are just about over.</i>
313,"00:21:48,067","00:21:52,445","<i>Now, that's a hard motherfuckin' fact of life.</i>"
314,"00:21:52,530","00:21:57,575",<i>But that's a fact of life your ass is gonna have to get realistic about.</i>
315,"00:21:59,495","00:22:04,916","<i>You see, this business is filled to the brim with unrealistic motherfuckers.</i>"
316,"00:22:05,000","00:22:09,003",<i>Motherfuckers who thought their ass would age like wine.</i>
317,"00:22:10,673","00:22:14,425",<i>If you mean it turns to vinegar... it does.</i>
318,"00:22:15,678","00:22:19,931",<i>If you mean it gets better with age... it don't.</i>
319,"00:22:21,600","00:22:23,560","<i>Besides, Butch,</i>"
320,"00:22:25,312","00:22:28,940",<i>how many fights you think you got in you anyway?</i>
321,"00:22:29,024","00:22:31,192",<i>Hmm?</i>
322,"00:22:31,277","00:22:33,236",<i>Two?</i>
323,"00:22:34,363","00:22:37,740",<i>Boxers don't have an old-timers' day.</i>
324,"00:22:38,868","00:22:42,829","<i>You came close, but you never made it.</i>"
325,"00:22:42,913","00:22:47,125","<i>And if you were gonna make it, you would have made it before now.</i>"
326,"00:22:47,209","00:22:50,420",â™ªâ™ª [CONTINUES]
327,"00:23:03,851","00:23:06,102",<i>You my nigger?</i>
328,"00:23:10,774","00:23:13,193",Certainly appears so.
329,"00:23:16,906","00:23:19,532",<i>[CHUCKLES]</i>
330,"00:23:19,617","00:23:23,578","[MARSELLUS] The night of the fight, you may feel a slight sting."
331,"00:23:26,707","00:23:30,084",That's pride fuckin' with you.
332,"00:23:31,128","00:23:33,755",Fuck pride!
333,"00:23:35,466","00:23:38,509",Pride only hurts.
334,"00:23:38,594","00:23:40,511",It never helps.
335,"00:23:41,931","00:23:43,973",You fight through that shit.
336,"00:23:45,476","00:23:50,355","'Cause a year from now, when you kickin' it in the Caribbean,"
337,"00:23:50,439","00:23:55,360","you gonna say to yourself, ""Marsellus Wallace was right."""
338,"00:23:55,444","00:23:57,362",<i>[CHUCKLES]</i>
339,"00:23:57,446","00:24:01,699","I got no problem with that, Mr. Wallace."
340,"00:24:01,784","00:24:05,578","<i>In the fifth, your ass goes down.</i>"
341,"00:24:09,625","00:24:11,584",<i>Say it.</i>
342,"00:24:13,837","00:24:17,298","In the fifth, my ass goes down."
