number_of_dialog,start_time,end_time,dialog
232,"00:11:19,757","00:11:21,841",Terrance and Phillip? Those Canadians?
233,"00:11:21,926","00:11:24,010","Excuse me, what the heck is Terrance and Phillip?"
234,"00:11:24,094","00:11:27,639",Terrance and Phillip are two very untalented actors from Canada.
235,"00:11:27,723","00:11:30,058",Nothing but foul language and toilet humor.
236,"00:11:30,142","00:11:32,644","Well, I guess I'll have to send a warning letter out to parents"
237,"00:11:32,728","00:11:34,687",before more children see Terrance and Phillip.
238,"00:11:34,772","00:11:36,397",- Everybody's fucking seen it! - Eric!
239,"00:11:36,482","00:11:37,732","I'm sorry, I can't help myself."
240,"00:11:37,816","00:11:39,901",That movie has warped my fragile little mind.
241,"00:11:47,284","00:11:49,661",There's the girI that I like
242,"00:11:51,205","00:11:53,957",Over there laughing with that smart new...
243,"00:11:54,041","00:11:57,210",You're holding up the goddamn lunch line!
244,"00:11:57,378","00:11:59,754","- Hello there, children. - Hey, Chef."
245,"00:11:59,838","00:12:01,172",- How's it going? - Bad.
246,"00:12:01,257","00:12:03,258",- Why bad? - We got busted for swearing.
247,"00:12:03,342","00:12:05,760",Our moms say we can't ever see the Terrance and Phillip movie again!
248,"00:12:05,844","00:12:06,886",Oh! That's too bad.
249,"00:12:06,971","00:12:08,388",You should've seen Kyle when his mom showed up.
250,"00:12:08,472","00:12:09,889",He was scared out of his mind.
251,"00:12:09,974","00:12:11,933","- Shut up, Cartman! - No, dude. I'd be scared, too."
252,"00:12:12,017","00:12:13,059",Your mom's a fucking bitch.
253,"00:12:13,143","00:12:14,811","Don't call my mom a bitch, you fat fuck!"
254,"00:12:14,895","00:12:16,854","Don't call me fat, you butt-fucking son of a bitch!"
255,"00:12:16,939","00:12:19,440","Whoa, children, where did you learn to talk like that?"
256,"00:12:19,525","00:12:21,067","It's pretty fucking sweet, huh?"
257,"00:12:21,151","00:12:24,279","Chef, how do you make a woman like you more than any other guy?"
258,"00:12:24,363","00:12:25,405",Oh! That's easy.
259,"00:12:25,489","00:12:27,615",- You just gotta find the clitoris. - Huh?
260,"00:12:27,700","00:12:28,741",Whoops!
261,"00:12:28,826","00:12:30,827","What does that mean, ""Find the clitoris""?"
262,"00:12:30,911","00:12:32,120",Forget I said anything.
263,"00:12:32,204","00:12:34,289","Move along, children, you're holding up the line."
264,"00:12:34,373","00:12:36,416","You guys, do you know where I can find the clitoris?"
265,"00:12:36,500","00:12:37,542",The what?
266,"00:12:37,626","00:12:39,502","What, is that like finding Jesus or something?"
267,"00:12:39,587","00:12:40,670","Attention, students."
268,"00:12:40,754","00:12:43,965",We are now enforcing a new dress code at South Park Elementary.
269,"00:12:44,049","00:12:47,218",Terrance and Phillip shirts are no longer allowed in school.
270,"00:12:47,303","00:12:49,178",Anyone wearing a Terrance and Phillip shirt
271,"00:12:49,263","00:12:51,889",is to be sent home immediately.
272,"00:12:51,974","00:12:53,182",- Hooray! - Hooray!
273,"00:12:56,854","00:12:59,647",The R-rated Canadian film Asses of Fire
274,"00:12:59,732","00:13:01,190",is number one at the box office.
275,"00:13:01,275","00:13:03,443",But is the film destroying American youth?
276,"00:13:03,527","00:13:05,903",Here with a special report is a midget in a bikini.
277,"00:13:05,988","00:13:07,739","Thanks, Tom. It appears that the effects"
278,"00:13:07,823","00:13:09,949",of the Canadian comedy are far-reaching indeed.
279,"00:13:10,034","00:13:12,327","All over America, children seem to be influenced,"
280,"00:13:12,411","00:13:14,579",like at this spelling bee in Washington.
281,"00:13:14,663","00:13:19,125","All right. This is for the silver medal. Spell ""forensics."""
282,"00:13:19,209","00:13:21,336","Fuck that! Why should I fucking have to spell ""forensics""?"
283,"00:13:21,420","00:13:22,503",- Yeah. - Yeah.
284,"00:13:22,588","00:13:26,591",Here you go. S-U-C-K-M-Y-A-S-S. Forensics.
285,"00:13:27,384","00:13:29,802","Tom, the devastating impact of the Canadian duo"
286,"00:13:29,887","00:13:34,015","can also be seen with their new hit song Shut Your Fucking Face, Uncle Fucka."
287,"00:13:34,224","00:13:36,934","Shut your fucking face, uncle fucka"
288,"00:13:37,019","00:13:40,605",You're a boner-biting bastard Uncle fucka
289,"00:13:40,689","00:13:42,273",Thought I told you that we won't stop
290,"00:13:42,358","00:13:43,566",Thought I told you that we won't stop
291,"00:13:44,276","00:13:46,152","- Back to you, Tom. - Thanks, midget."
292,"00:13:46,236","00:13:47,195",Shocking report.
293,"00:13:47,279","00:13:49,822",The controversy began in the small mountain town of South Park
294,"00:13:49,907","00:13:52,325",where the local PTA is trying to ban the movie.
295,"00:13:52,409","00:13:55,328","With us tonight is the head of the PTA, Sheila Broflovski."
296,"00:13:55,412","00:13:57,955","- Hello, Tom. - And the Canadian Minister of Movies."
297,"00:13:58,040","00:13:59,165","Thanks for having me, buddy."
298,"00:13:59,249","00:14:00,625","Minister, parents are concerned"
299,"00:14:00,709","00:14:02,710",about your country's entertainment. Your thoughts?
300,"00:14:02,795","00:14:05,129","Well, the film is R-rated and is not intended for children."
301,"00:14:05,214","00:14:07,173",But of course children are gonna see it!
302,"00:14:07,257","00:14:08,841",Can I finish? The fact is that we Canadians
303,"00:14:08,926","00:14:09,884",are quite surprised by your outrage.
304,"00:14:09,968","00:14:12,845",- You just don't care! - Can I finish? Hello? Can I finish?
305,"00:14:12,930","00:14:15,682",The United States has graphic violence on television all the time.
306,"00:14:15,766","00:14:16,849",We can't believe that a movie
307,"00:14:16,934","00:14:18,393",with some foul language would piss you off so much.
308,"00:14:18,477","00:14:19,686",Because it's evil!
309,"00:14:19,770","00:14:22,146",Can I finish? Please! Can I finish?
310,"00:14:23,107","00:14:24,232","Okay, I'm finished."
311,"00:14:24,316","00:14:26,192","But, Mr. Minister, it isn't like this film"
312,"00:14:26,276","00:14:28,152",is the first troublesome thing to come out of Canada.
313,"00:14:28,237","00:14:29,821",Let us not forget Bryan Adams.
314,"00:14:29,905","00:14:31,489","Now, now. The Canadian government has apologized"
315,"00:14:31,573","00:14:32,990",for Bryan Adams on several occasions.
316,"00:14:33,075","00:14:34,534","You Canadians are all the same,"
317,"00:14:34,618","00:14:36,703",with your beady little eyes and flapping heads!
318,"00:14:36,787","00:14:38,788",- You're trash. - I resent that! I find that racist!
319,"00:14:38,872","00:14:40,456",Our children are now addicted to your filth!
320,"00:14:40,541","00:14:42,208","You are a racist, ma'am. You are a racist."
321,"00:14:42,292","00:14:43,751",It is going to take us weeks
322,"00:14:43,836","00:14:47,088",to erase the damage this film has done to our children!
323,"00:14:50,175","00:14:53,553","Kids, I wanna welcome you to rehabilitation, m'kay?"
324,"00:14:53,637","00:14:56,723",Your mothers insisted that you be taken from your normal schoolwork
325,"00:14:56,807","00:14:59,308",and placed into rehab to learn not to swear.
326,"00:14:59,393","00:15:01,060","I must say, I don't think I belong with these rogues."
327,"00:15:01,145","00:15:03,855",I attended school at Yardale and had a 4.0 grade point average.
328,"00:15:03,939","00:15:05,231","You're a fucking faggot, dude."
329,"00:15:05,315","00:15:08,443","M'kay. You see, children? This is exactly what I'm talking about."
330,"00:15:08,527","00:15:10,737",We have to get you off of foul language.
331,"00:15:10,821","00:15:13,573","- How are we gonna do that? - Well, listen here."
332,"00:15:13,657","00:15:16,576",There are times when you get suckered in
333,"00:15:16,660","00:15:20,121","By drugs and alcohol and sex with women, m'kay?"
334,"00:15:20,205","00:15:22,749",But it's when you do these things too much
335,"00:15:22,833","00:15:27,503",That you've become an addict and must get back in touch
336,"00:15:27,963","00:15:31,174","You can do it It's all up to you, m'kay?"
337,"00:15:31,759","00:15:35,428",With a little plan you can change your life today
338,"00:15:35,512","00:15:37,805",You don't have to spend your life addicted to smack
339,"00:15:37,890","00:15:40,099",Homeless on the streets giving hand-jobs for crack
340,"00:15:40,184","00:15:43,102",Follow my plan and very soon you will say
341,"00:15:43,187","00:15:45,271","""It's easy, m'kay?"""
342,"00:15:46,398","00:15:48,107","Step one, instead of ""ass"" say ""buns"""
343,"00:15:48,192","00:15:50,610","Like ""Kiss my buns"" or ""You're a buns-hole"""
344,"00:15:50,694","00:15:52,111","Step two, instead of ""shit"" say ""poo"""
345,"00:15:52,196","00:15:54,697","As in ""bull-poo,"" ""poo-head"" and ""This poo is cold"""
346,"00:15:54,782","00:15:56,324","Step three, with ""bitch"" drop the ""T"""
347,"00:15:56,408","00:15:58,951","'Cause ""bich"" is Latin for ""generosity"""
348,"00:15:59,036","00:16:00,453","Step four, don't say ""fuck"" anymore"
349,"00:16:00,537","00:16:02,622","'Cause ""fuck"" is the worst word that you can say"
350,"00:16:02,706","00:16:04,999","So just use the word ""m'kay"""
351,"00:16:05,083","00:16:07,627","we can do it It's all up to us, m'kay?"
352,"00:16:07,711","00:16:08,878",M'kay
353,"00:16:08,962","00:16:11,214",With a little plan we can change our lives today
354,"00:16:11,298","00:16:12,799",You can change it today
355,"00:16:12,883","00:16:15,176",You don't have to spend your life shooting up in the trash
356,"00:16:15,260","00:16:17,178",Homeless on the streets giving hand-jobs for cash
357,"00:16:17,262","00:16:20,348",Follow this plan and very soon you will say
358,"00:16:20,432","00:16:22,725","""It's easy, m'kay?"""
359,"00:16:23,602","00:16:25,311","- Step one - Instead of ""ass"" say ""buns"""
360,"00:16:25,395","00:16:27,772","- Like ""Kiss my buns"" - Or ""You're a buns-hole"""
361,"00:16:27,856","00:16:29,357","- Step two - Instead of ""shit"" say ""poo"""
362,"00:16:29,441","00:16:30,483","- As in ""bull-poo"" - ""Poo-head"""
363,"00:16:30,567","00:16:31,901","And ""This poo is cold"""
364,"00:16:31,985","00:16:33,486","- Step three - With ""bitch"" drop the ""T"""
365,"00:16:33,570","00:16:36,155","'Cause ""bich"" is Latin for ""generosity"""
366,"00:16:36,240","00:16:37,657","- Step four - Don't say ""fuck"" anymore"
367,"00:16:37,741","00:16:39,992","'Cause ""fuck"" is the worse word that you can say"
368,"00:16:40,077","00:16:41,953","""Fuck"" is the worse word that you can say"
369,"00:16:42,037","00:16:44,497","We shouldn't say ""fuck"" No, we shouldn't say ""fuck,"" fuck, no!"
370,"00:16:44,581","00:16:45,915","You're cured, you can go"
371,"00:16:45,999","00:16:48,251",You don't have to spend your life shooting up in the trash
372,"00:16:48,335","00:16:50,336",Homeless on the streets giving hand-jobs for cash
373,"00:16:50,420","00:16:53,464",Follow this plan and very soon you will say
374,"00:16:53,549","00:16:54,590","""It's easy, m'kay?"""
375,"00:16:54,675","00:16:55,675","It's easy, m'kay?"
376,"00:16:55,759","00:16:57,844","- It's easy, m'kay? - It's easy, m'kay?"
377,"00:16:57,928","00:16:59,887","- It's easy, m'kay? - It's easy"
378,"00:16:59,972","00:17:02,265","It's easy It's easy, m'kay?"
379,"00:17:03,767","00:17:05,935",M'kay. M'kay.
380,"00:17:07,271","00:17:08,312",Now you're cured.
381,"00:17:08,397","00:17:12,233","You can take the rest of the afternoon off for personal reflection, m'kay?"
382,"00:17:12,317","00:17:15,945","Find your own constructive way to better yourself, m'kay?"
383,"00:17:18,031","00:17:19,574","Well, Phillip, I hope you've learned something"
384,"00:17:19,658","00:17:20,700",through this whole experience.
385,"00:17:20,784","00:17:24,036","I did, Terrance. I learned that you are a boner-biting dick-fart fuck-face."
386,"00:17:26,039","00:17:28,416",Want to see the northern lights?
387,"00:17:30,460","00:17:33,546",You burned yourself to death by lighting your fart!
388,"00:17:33,630","00:17:35,089","I sure did, Phillip."
389,"00:17:36,300","00:17:39,886",Uncle fucker! Too tight!
390,"00:17:44,683","00:17:46,976","Man, that movie gets better every time I see it."
