,tweet,label
88,""": This bitch was so ungrateful http:"" fr ..... LULWHORE",1
89,""": I been kidnapped yo bitch""",1
90,""":  alsarabsss"" hes a beaner smh you can tell hes a mexican",2
91,""":  happy birthday nigs"" Thanks yo",1
92,""": when ur teacher tells u that u have homework https:"" this bitch need to go",1
93,""": "":  that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http:",1
94,""": What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",1
95,""": Leafs better win this damn game so I can go riot and shit "" you better start looting my nig",1
96,""": Going back to school sucks more dick than the hoes who attend it.""",1
97,""": On my way to fuck yo bitch http:"" me as a 9 year old",1
98,""":  how come you never bring me food"" i dont have a car retard",1
99,""": If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1
100,""": How bout them Cowboys"" Shutup pussy",1
101,""": LMAOOOOOOOOOOO this nigga  http:"" ;bitch want likes for some depressing shit..foh",1
102,""":  girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",1
103,""": Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",1
104,""": Harlem shake is just an excuse to go full retard for 30 seconds.""",1
105,""": amen miley  http:""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1
106,""": having one loyal female is wayyyyy better than having hoes , idc """,1
107,""": Pussy licking pussy.... meow meow   https:""""""""",1
108,""": Check out our 12th man. "" even with all those faggot ny fans in the stands",1
109,""": What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",1
110,""":  im the bitch okay nudes pat "" wow",1
111,""":  you're fucking gay, blacklisted hoe"" Holding out for  anyway http:",2
112,""": The fuck be wrong with these bitches?"" Nobody knows",1
113,""": Yall shut up:p"" make me bitch",1
114,""": I hate a ""I'm pregnant"" type of bitch.""",1
115,""": Got bitches in the DM but I don't ever read'em"" which is y your top 3",1
116,""": Baseball season for the win. "" This is where the love started",0
117,""": Little stupid as bitch I don't fuck with yoooooouuuu..""",1
118,""": she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",1
119,""": I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0
120,""": Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0
121,""": Pit Bulls Photographed As Lovely Fairy Tale Creatures http:

They *are* fairy tale creatures.",0
122,""":  Aw."" ...fag, don't tweet ""aw"" to me lol",1
123,""": As long as the Lakers trash from now on, I could careless. And that's real."". CC:  hahaha",0
124,""":  I didn't say anything tho"" kiss me then faggot",1
125,""": this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http:""  yup",0
126,""": I could go for a fat ass bitch on my lap"" same",1
127,""": 17 missed calls ""Das yo P.O bitch twitter finna be screamn",1
128,""": Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao",1
129,""": : 3 | Amo los pies http:"" fuck yeah",1
130,""": These hoes be thinking Meat won't slap they ass "" ainna bruh",1
131,""": Yall bitches wit no edges be doing the most talking """,1
132,""": Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1
133,""": I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",1
134,""": If she kiss u with her eyes open watch that bitch""lmfao",1
135,""": You a woulda coulda shoulda ass hoe """,1
136,""": Happy Bday Bitch Ass Nigga ""preciate that bitch roll up",1
137,""":   used to send that bitch up""",1
138,""": Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses""",1
139,""":  nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",1
141,""": Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",1
142,""": This isn't ghetto.....it's smart https:"" I'm doing this idc",0
143,""": I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",1
144,""": Being single isn't an excuse to be a hoe.""",1
145,""": White boy power bitch"" black power bitch",1
146,""": Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes"" Bro white dudes have no chill.",1
147,""":  bitch where u been"" Around the world and back. Where you been?",1
148,""":  if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off "" *by  *",1
149,""":  is soooo cute. But he probably has hoes on him a lot.""",1
150,""": In every cartoon theirs alway a  saving these hoes lmao. http:"" lmao damn captain SaveAHoe",1
151,""": Who wants to get there nose in these bad bois then     http:"" hot sox and legs",0
152,""": I wish I was a bitch like my brother keezy "" ooooow I bet you do",1
153,""": If you dressed up as a cat for Halloween you are basic."" ...or a pussy",1
154,""": Can pornhub just get a gaming stream feature so these dumb bitches can gtfo""  get on it Katie;3",1
155,""": stop being scared to choke her during sex u bitch ass niggas. Shell like it."". Says the guy who hits women out of bed. FOH",1
156,""":  ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",1
157,""":  Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??""""",1
158,""": You're not a man if you refer to every girl as a bitch""",1
159,""": Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?? MY NIGGA",1
160,""": Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash?",0
161,""":  io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1
162,""":  naw it's my old tape. new cover . my upcoming mixtape is "" Yeah I'm waiting on that hoe Mayne",1
163,""": Ol dirty foot ass bitches.."" this was too funny to me.",1
164,""":  that's where I get my yellow flags for being amazing "" HELL YEAH NIGGY",1
165,""": Don't got time for bitches to be actin iffy.""",1
166,"""  come on stay alive knights nation"" This is still the early bird special.",0
167,""": These hoes ain't loyal ; no they ain't http:""

Smfh &amp; wonder why nobody decent wants them",1
168,""": Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE",1
169,""": dry pussy bitches always blame it on the condom""",1
170,""": shut yo bitch ass up https:""",1
171,""": Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",1
172,""": You love these hoes more then money wats wrong these niggas""",1
173,""": A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",1
174,""": Easy cum, easy hoe"" That's a fact",1
175,""": Charlie Sheen is too real http:"" major fucking respect for Charlie Sheen.",1
176,""": Wish I had a bae ""

You got all the hoes tho",1
177,""": Fuck twerking bitch can you cook ?""",1
178,""":  bitch wtf"" http:",1
179,""": : "": Shut up zoe"" fight me pussy for zoe? I'm good, man."" You are good ma'am. Move along now",1
180,""": Lmao fucking snake bitches"" @ em",1
181,""": Big booty hoes everywhere sheesh "" damn",1
182,""": Stay tuned to  for an update on the report that  1B  will be out 8-10 weeks""",0
183,""": : ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http: yes lmfao""",0
184,""": Oregon chokes every year get off the field trash ass program"" RFT",1
185,""": Def not cowboy lol  : Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",1
186,""": LMFAOOOO I HATE BLACK PEOPLE https:"" This is why there's black people and niggers",2
187,""":   How could u do this to me bitch"" potent",1
188,""": http:"" a pissed lad past out. I would lick his dirty soles while he slept.",0
189,""": http:"" love frat boy w/ soft long soles",0
190,""": http:"" sexy lad with hot soles and arches.",0
191,""":  nah fam I gotta cheat with the hoes"" depends on the female i feel",1
192,""":  "" I got hicks lol",0
193,""": This new twitter is confusing the shit out of me."" Go back to south america bitch",1
194,""": Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",1
195,""": but what if he actually does choose the ugly bitch over you? ""Her ass must be fat",1
196,""": bitch couldn't kill my vibe if ya tried. "" dis why i love miley :*",1
197,""": I'm tired of bitches saying I look mean.. "" nigga you big af, wear tight shirts, and grim everybody.",1
198,""": 10 birds your grandkids may never see, thanks to climate change http: http:""",0
199,""": ""Stay beautiful you bitch""""",1
200,""": 

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",1
201,""": Money getting taller and bitches getting blurry""",1
202,""": I ain't never seen a bitch so obsessed with they nigga"" I'm obsessed with mine",1
203,""": Kobe stay talking trash. But let's not forget http:""  I meant to do this one. Smh.",1
204,""": ""At least I'm not a nigger"" http:""

Lmfao",2
205,""": People always asking me what I'm mixed with."" She a bad asian bitch lol",1
206,""":  Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",2
207,""": : Fosters home for imaginary trash WHOA CHILL""

that show was everything tf",0
208,""": I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe",1
209,""": : Stop bringing weird niggers into my mentions  http:""",1
210,""": We don't love these hoes """,1
211,""": If yo girl cant have homeboys you a ol weak bitch ass nigga""",1
212,""":  I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",1
213,""": Quote this tweet with your favorite animal.""pussy",1
214,""": I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER""",1
215,""": Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy "" smh",1
216,""": When bitches TWERK on the computer....

ME: ""In ya , in ya damn """"",1
217,""": : :  Prince, THIS is art. http: nobody takin his bitch",1
218,""": 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",0
219,""": These bitches don't care they just play that role.""",1
220,""": It took a while for you to find me, but I was hiding In the lime tree.""
 dis bitch in da wrong tree bro.",1
221,""": Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http:"" ....dudes a fag",2
222,""":  inna di ghetto"" You alone lmaoo",0
223,""": :   hoes Austin teach us Austin.""I teach u how to get curved? That's all I know",0
224,""": bitches can't cook but know how to suck dick .."" s/o to the ones that can do both",1
225,""": Fat hoes get chose"" lol",1
226,""": "" well they're hoes,no one expects them to be loyal",1
227,""":   ol bitch ass"" http:",1
228,""": Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",1
229,""": Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",1
230,""" : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",1
231,""": ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",1
232,""": @ One of your followers with this  http:"" @ somebody, bitch if you don't",1
233,""": If ya bitch always bitching clearly she care"" Or just an annoying Bitch",1
234,""": These catfish hoes thinkin they slick.. But niggas catching on """,1
235,""": Can't worry about a bitch that ain't worried bout me""",1
236,""": Side hoes are for insecure niggas that can't handle a real one.""",1
237,""":  : Lmao This bitch come scooting in the tent like she about to fuck some shit up""",1
238,""": My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers """,1
239,""": i'm hungry but ionn wanna spend my money on food""Broke hoe problems",1
240,""": Dese hoes be LYIN to all of us nigga""",1
241,""": http:"" oh yeah fuck that bitch",1
242,""": Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",0
243,""": USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team.  http:"" he's a bitch",0
244,""": Guess what? I also have zero time for your mansplaining Adios"" Stfu pussy",1
245,""": Chilling  http:"" sexy scally lad",0
246,""": I ain't sharing no bitch if you mines you mines """,1
247,""": money only impress the simple broke bitches""",1
248,""":  will never be anybody's bitch, they don't let people control or change them."" Rigghhht",1
250,""":   tuku ho idk blah blah blah""",0
251,""":   I'm not mad cuh hahaha"" suure.. tuku ho ita",0
252,""": These hoes is crazy""",1
253,""": You ain't ever gonna be a slice bitch."" Kevin hart. (:",1
254,""": Oomf so fuckin fine tho  dam"" @ her, don't be no bitch.",1
255,""": I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",1
256,""": 
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""",1
257,""": Hickies in between her thighs right by her pussy ;;;"" Its only right",1
258,""": Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",1
259,""":   y'all come through the front.""bitch I ain't coming",1
260,""":  faggot bitch"" http:",1
261,""":  yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up ""i work 2-5",1
262,""": http:"" this scally lad would get it",0
263,""":  http:"" Halloween was yesterday stupid nigger",2
264,""": Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http:",1
265,""": : I love eating pussy lol I never get full lol I can eat that shit forever lol"" and ever.",1
266,""": : "": : No slushes hoes nasty anyway fam""them hoes taste like meds""",1
267,""": : No slushes hoes nasty anyway fam""",1
268,""": BOBBY BITCH-by  be getting me live as fuck"" hell yea i play that hoe before my workout",1
269,""": Yo bitch is Gucci Mane   : My bitch a stoner  http:""",1
270,""": I can ride your bitch with no handle bars""",1
271,""": And if you ain't a hoe get up out my traphoussseeeee""",1
272,""": 15 sad TV character deaths we're still bitter over... http: http:""ned stark was the man",0
273,""": These harbor bitches are all ""Party Bus hoes"""" Lol all?",1
274,""":  pussy"" love it",1
275,""": Ultraviolence video, its coming you little bitch  Lana Del Rey http:"" 

bitchy promo",1
276,""": On my way to fuck your bitch https:""

LMFAO KITTYCOPTER",1
277,""": A smuggler explains how he helped fighters along the ""Jihadi Highway"": http:""",0
278,""": "": Aww their avis look so cute together  http:"" "" do I gotta get Ike avi on this bitch ?",1
279,""": "": Its simple, dont be a hoe=dont worry about being exposed "" fight me""why ?",1
280,""": whys this bitch boosting herself http:""

Her size isn't exactly the most healthy tho",1
281,""":  bet not be no bitches ""  Kim bye",1
283,""": Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco",1
284,""": I'm making marack my girlfriend .""  aye b you pullin hoes just like o taught you",1
285,""": Bruno fag boy"" you love me.",1
286,""": : I must be a bitch you are  sike naw"" This why we always beefing",1
287,""": Down 6-1,  look to rally in the bottom of the 9th.""",0
288,""": : Don't take advantage of a nice person@ hoes""@ everyjuan",1
289,""": Happy birthday bitch nigga "" Thanks pal",1
290,""": Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",1
291,""":  cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",1
292,""":  ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""",1
293,""": I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",1
294,""" My pussy still fresh"" ;----- something stank girls say.",1
295,""": Ass slapping is one the greatest things. Haha. "" I slapped a girl on the ass. . She got mad I aint get pussy for a week",1
296,""":   yeah Texans are so much better you fucking retard"" I see that you're mad about this.",1
297,""": Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE"" ..looking like black&amp;milds out here",1
298,""": There's a lane some bitches need to stay in "" the left n get right the fuck outta our face",1
299,""": I hate when boys deny that they have bitches "" smh",1
300,""": Ya nigs out there still saying y'all don't eat butt?"" WITH A STRAIGHT FACE",1
301,""": Im a boss ass bitch"" ...that needs to sit in a corner",1
302,""": He's a hoe , I can't""",1
304,""": Me And Paul Thinkin Bout Gettin Rentals For Da Weekend ""oooh shit bitches betta stay out da streets",1
305,""": bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. """,1
306,""": why do my friends hate me"" because you a ratchet hoe..",1
307,""": No love for these fuck niggas"" hoes*",1
308,""": Hot meat http:"" sexy as fuck scally lad. I would love to meet him and his trainers.",1
309,""": Sniff http:"" perved up scally lad. fuck yeah.",1
310,""": These bitches love Sosa""",1
311,""": : I legit watched it for about 30 or 40 seconds SO DID I WTF"" prob cause were retarded smh",1
312,""": What should I name my cat, ideas?"" Mr pussy",1
313,""": http:"" woof woof. Sexy thug boy scally.",1
314,""":  u see the damn phone ringing? "" when you married bitches makes demands You haven't called me",1
315,""": Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",1
316,""": 10 sex positions http: http:""naw this what u call fucking the soul outta bitch",1
317,""":  is bored supposed to be cute, you faggot?"" Sometimes",2
318,""": One mans trash  is another mans treasure """,0
319,""": I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",1
320,""":  lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",2
321,""": god teeth , gold chain
white bitches , cocaine""",1
322,""": Its me hoe, its me hoe"" shhhhh",1
323,""": In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe.",1
324,""": I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",1
325,""": hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone "" ON. MY. SOUL",1
326,""": Ashley Young has tried to deny that bird s*** landed in his mouth ---; http: https:"" hahaha",0
327,""":  yall both gimped up??"" Ain't tht a bitch huh lol",1
328,""": "": Take me for a ride  http:"""" woof woof",0
329,""": oh my god I love Victoria Mitchell"" all my bitches love me",1
330,""": That long distance shit wack I knew the bitch was cheating""- uh oh",1
331,""": HE'S DOING IT RIGHT  http:"" no bitches smh",1
332,""": they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",1
333,""": Roses are red and violets are blue and niggers are black, you know that's true.""",1
334,""": Sitting on my window sill, window open, bird tries to fly in. Smacked it. """,0
335,""": But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",1
336,""": a video an entire media will likely mock. http:"" i am such a crybaby",0
337,""":   I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",1
338,""": Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh.""",1
339,""": Karma is a bitch   ""

*sips tea*",1
340,""": Fuckin hot gym pussy http:"" fuck yeah",1
341,""": Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https:""",0
342,""": You can call me Fireman cause I turn the hoes on.""",1
343,""": I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",1
344,""": Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",1
345,""": And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",1
346,""": tweety bird tho https:""",0
347,""": my pussy sweet like watermelon http:""

Thotermelon",1
348,""": When twitter rappers dm me their trash links http:""",0
349,""": loud bitches annoy me""",1
350,""": Eventually every bitch turns into that hoe."" # Truuu",1
351,""": "": "": I swear if oomf try talking to me tomorrow.."" @"" "" pussy",1
352,""": You bitches be pretending to be TF crazy.."" You ain't never lied...",1
353,""":  k bye hoe"" um bye ..",1
354,""": Jackies a retard "" At least I can make a grilled cheese",2
355,""": ima keep on giving these pussy ass niggas ah reason to hate """,1
356,""": Photo: http:"" he is in sole heaven",0
357,""": Stacey Dash won  http:"" baddest bitch evaaaa",2
358,""": Side bitch Sunday """,1
359,""": Facts what baldheaded bitch made this shit.  http:""

Lmao",1
360,""": Fuck wit us and then we tweakin hoe"" shmurda",1
361,""": We actin like it's the 7th day  http:""
spook",0
362,""": I'll break that lil bitch neck and won't even feel sorry about it"" Savage",1
363,""": This is so fucking hot      http:"" love me some kinky scallies",1
364,""": Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.",1
365,""": I can turn yo bitch into a eaterrrrrrrrr""",1
366,""": I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn",1
367,""": : Aye yall ima tryout for the bowling team frfr tryouts passed tho"" no theres two more retard",1
368,""": Now u got what u want bitch  Enjoy it http:"" now this is a crazy party I would love to attend.",1
369,""": colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",0
370,""": Facts "": Only the dudes with hoes say they don't got hoes""",1
371,""": I'm rea start smacking bitches period "" Bluffin at its best",1
372,""": Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:",1
373,""": One of us is on drugs, and its me but you're still wrong  "" hahahahahahah im a bitch sometimes (:",1
374,""": I'm feeling pretty fuckin ghetto"" Smh",1
375,""": "": "": "":  swears I'm  man"" easily"" easily"" behind Austin"" nip?",0
376,""": This is a true ride or die bitch  http:"" what the fuck hahahahah",1
377,""": H.G.Wells and Charlie Chaplin http:""",0
378,""": All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)",1
379,""":  I'm about to cool faggot chill"" tf is cool nigga",1
380,""":  I'm so sure bitch"" frfr tf",1
381,""": Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",1
382,""": Got a couple bitches saying they know me But Ima let the money talk for me "" AND I'M LIKE...",1
383,""": Grudges are for weirdos""and bitches",1
384,""": I told Mariam to but cigarettes for her birthday""

You also called me trash rn",0
385,""":  brownies tonight"" what kind??",0
386,""": No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol",1
387,""": Ummmmmm okay http:"" you got hoes from left to right  do yah thang",1
388,""": using y=mx+b to find the slope of that ass""",1
389,""": Fit lads Nice gear http:"" these scally lads n trainers would get it",0
390,""": Hell yeah bro http:"" fuck yeah sexy scally lad in hot gear",1
391,""": Helping out a mate http:"" I love scally play. Fuck yeah",1
392,""": Lads being Lads http:"" fuck yeah. I love scally lad action. Hot trainers too.",1
393,""": Next year bitches is gonna be like you gotta promise you won't expose me """,1
394,""": : So hot  : Lick it, bitch http:"" fuck yeah. Eat that trainer u dirty fucker",1
395,""": : Y'all think celebrity pussy different from the locals?  yeah Meghan goods is""",1
396,""": ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" "" lmaoo",0
397,""": Need these sox http:"" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks",1
398,""": I don't ever expose females like that.. That's childish.."" bitch nigga shiiii.....",1
399,""": "":  yasss""

*trys new things with bestfriend*""

*bitch who do you love*",1
400,""": Dude remember this wop video?  http:"" OMG WHERE DID YOU FIND THAT",0
401,""": Thick raw fuck http:"" Damn his man pussy is getting a workout.",1
402,""": RAWR  : ""My"" sexy French scally. I love him  http:"" sexy scally woof woof",0
403,""": Nothin in life is free.. Some of you bitches need to write that on ya panties""",1
404,""":  if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha",1
405,""": Niggas whole hoes out here cuz"" Couldn't had said it better..",1
406,""": Hardcore way to eat Mac and cheese
1. Boil water 
2. Snort cheese powder
3. Drink boiling water 
4. Fuck bitches""",1
407,""":  if my fade is perpetually fresher than yours."" That's a real ass bitch rite there",1
408,""": annoying bitch that I love http:"" JUDYANN'S SO PRETTY",1
409,""": http:""

Lmao bitch got on some huggies",1
411,""": Hi bitch 
No bitch
Bye bitch"" http:",1
412,""": does he look like a bitch?""",1
